".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"degree","Af","Am",296,276,31941.5,6.5e-06,0.000435,"***"
"degree","Af","Aw",296,286,37240.5,0.012,0.436,"ns"
"degree","Af","BSh",296,214,42026.5,2.89e-10,2.66e-08,"****"
"degree","Af","BSk",296,251,32996.5,0.024,0.774,"ns"
"degree","Af","BWh",296,78,20049.5,1.18e-23,1.6e-21,"****"
"degree","Af","BWk",296,86,24115,8.49e-37,1.4e-34,"****"
"degree","Af","Cfa",296,298,45155,0.615,1,"ns"
"degree","Af","Cfb",296,298,33514,4.11e-07,3.08e-05,"****"
"degree","Af","Csa",296,126,29161,4.69e-20,5.77e-18,"****"
"degree","Af","Csb",296,296,43025.5,0.707,1,"ns"
"degree","Af","Cwb",296,220,44382,1.69e-12,1.69e-10,"****"
"degree","Af","Dfa",296,298,51865.5,0.000206,0.012,"*"
"degree","Af","Dfb",296,296,49845.5,0.004,0.156,"ns"
"degree","Af","Dfc",296,293,37325,0.003,0.151,"ns"
"degree","Af","Dwb",296,283,52762,6.44e-08,5.15e-06,"****"
"degree","Af","Dwc",296,291,44722,0.421,1,"ns"
"degree","Af","EF",296,187,21324.5,2.13e-05,0.001,"**"
"degree","Af","ET",296,254,30678.5,0.000199,0.011,"*"
"degree","Am","Aw",276,286,42860,0.078,1,"ns"
"degree","Am","BSh",276,214,44808,8.66e-23,1.15e-20,"****"
"degree","Am","BSk",276,251,39173.5,0.009,0.366,"ns"
"degree","Am","BWh",276,78,19575.5,1.99e-28,3.04e-26,"****"
"degree","Am","BWk",276,86,22842.5,1.19e-38,2.01e-36,"****"
"degree","Am","Cfa",276,298,50421.5,2.82e-06,2e-04,"***"
"degree","Am","Cfb",276,298,40326.5,0.688,1,"ns"
"degree","Am","Csa",276,126,29319.5,2.34e-28,3.56e-26,"****"
"degree","Am","Csb",276,296,49567,1.01e-05,0.000646,"***"
"degree","Am","Cwb",276,220,46705.5,6.53e-25,9.01e-23,"****"
"degree","Am","Dfa",276,298,55728,1.89e-13,1.95e-11,"****"
"degree","Am","Dfb",276,296,56250,6.27e-15,6.71e-13,"****"
"degree","Am","Dfc",276,293,44418,0.042,1,"ns"
"degree","Am","Dwb",276,283,57649,2.04e-22,2.65e-20,"****"
"degree","Am","Dwc",276,291,50397.5,1.51e-07,1.16e-05,"****"
"degree","Am","EF",276,187,25379.5,0.763,1,"ns"
"degree","Am","ET",276,254,36906,0.293,1,"ns"
"degree","Aw","BSh",286,214,43374.5,1.35e-15,1.46e-13,"****"
"degree","Aw","BSk",286,251,36878,0.583,1,"ns"
"degree","Aw","BWh",286,78,19701.5,2.61e-25,3.68e-23,"****"
"degree","Aw","BWk",286,86,23268,2.12e-36,3.48e-34,"****"
"degree","Aw","Cfa",286,298,48373,0.005,0.194,"ns"
"degree","Aw","Cfb",286,298,38227.5,0.031,0.911,"ns"
