".y.","clima","N"
"between","Csa",18
"between","BWh",17
"between","BWk",17
"between","BSh",16
"between","Cwb",16
"between","Dfb",16
"between","Dwb",16
"between","EF",16
"between","ET",16
"between","Am",15
"between","Aw",15
"between","BSk",15
"between","Cfb",15
"between","Af",14
"between","Cfa",14
"between","Csb",14
"between","Dfa",14
"between","Dfc",14
"between","Dwc",14
"close","EF",18
"close","BWh",17
"close","BWk",17
"close","ET",17
"close","BSk",15
"close","Dfa",13
"close","Cwb",12
"close","Dwc",12
"close","Cfb",10
"close","Csb",10
"close","Dwb",10
"close","Cfa",9
"close","Dfb",9
"close","Af",8
"close","Am",8
"close","Aw",8
"close","BSh",8
"close","Dfc",8
"close","Csa",5
"degree","Csa",18
"degree","BWh",17
"degree","BWk",17
"degree","BSh",15
"degree","Cwb",15
"degree","Dwb",14
"degree","Dfb",13
"degree","Am",12
"degree","Cfb",12
"degree","Csb",12
"degree","Dfa",12
"degree","EF",12
"degree","ET",12
"degree","Af",11
"degree","Dwc",11
"degree","Cfa",10
"degree","Dfc",9
"degree","Aw",8
"degree","BSk",8
"eigenv","BWh",17
"eigenv","Csa",15
"eigenv","Cfb",6
"eigenv","Am",5
"eigenv","Cwb",5
"eigenv","EF",5
"eigenv","BSh",4
"eigenv","Dfb",4
"eigenv","BWk",3
"eigenv","Af",2
"eigenv","Aw",2
"eigenv","BSk",2
"eigenv","Cfa",2
"eigenv","Csb",2
"eigenv","Dfa",2
"eigenv","Dfc",2
"eigenv","Dwb",2
"eigenv","Dwc",2
"eigenv","ET",2
