"variable",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"Average path length","value","Af","Am",100,100,4347,0.111,0.127,"ns"
"Average path length","value","Af","Aw",100,100,5106,0.797,0.811,"ns"
"Average path length","value","Af","BSh",100,100,4938,0.881,0.886,"ns"
"Average path length","value","Af","BSk",100,100,2090,1.17e-12,2.74e-12,"****"
"Average path length","value","Af","BWh",100,100,10000,2.56e-34,1.88e-33,"****"
"Average path length","value","Af","BWk",100,99,9900,3.74e-34,1.88e-33,"****"
"Average path length","value","Af","Cfa",100,100,6115,0.006,0.008,"**"
"Average path length","value","Af","Cfb",100,100,4410,0.15,0.167,"ns"
"Average path length","value","Af","Csa",100,100,8368,1.9e-16,5.16e-16,"****"
"Average path length","value","Af","Csb",100,100,3554,0.000413,0.000579,"***"
"Average path length","value","Af","Cwb",100,100,7224,5.55e-08,9.78e-08,"****"
"Average path length","value","Af","Dfa",100,100,6669,4.57e-05,6.86e-05,"****"
"Average path length","value","Af","Dfb",100,100,4524,0.245,0.265,"ns"
"Average path length","value","Af","Dfc",100,100,4039,0.019,0.024,"*"
"Average path length","value","Af","Dwb",100,100,3820,0.004,0.005,"**"
"Average path length","value","Af","Dwc",100,100,5789,0.054,0.064,"ns"
"Average path length","value","Af","EF",100,100,1189,1.27e-20,4.1e-20,"****"
"Average path length","value","Af","ET",100,100,2228,1.27e-11,2.65e-11,"****"
"Average path length","value","Am","Aw",100,100,5804,0.05,0.059,"ns"
"Average path length","value","Am","BSh",100,100,5590,0.15,0.167,"ns"
"Average path length","value","Am","BSk",100,100,2514,1.26e-09,2.42e-09,"****"
"Average path length","value","Am","BWh",100,100,10000,2.56e-34,1.88e-33,"****"
"Average path length","value","Am","BWk",100,99,9900,3.74e-34,1.88e-33,"****"
"Average path length","value","Am","Cfa",100,100,6808,1e-05,1.57e-05,"****"
"Average path length","value","Am","Cfb",100,100,5099,0.81,0.82,"ns"
"Average path length","value","Am","Csa",100,100,8945,5.53e-22,1.89e-21,"****"
"Average path length","value","Am","Csb",100,100,4194,0.049,0.059,"ns"
"Average path length","value","Am","Cwb",100,100,7802,7.64e-12,1.67e-11,"****"
"Average path length","value","Am","Dfa",100,100,7296,2.04e-08,3.71e-08,"****"
"Average path length","value","Am","Dfb",100,100,5225,0.583,0.608,"ns"
"Average path length","value","Am","Dfc",100,100,4604,0.334,0.355,"ns"
"Average path length","value","Am","Dwb",100,100,4412,0.151,0.167,"ns"
"Average path length","value","Am","Dwc",100,100,6438,0.000444,0.000617,"***"
"Average path length","value","Am","EF",100,100,1472,6.75e-18,1.92e-17,"****"
"Average path length","value","Am","ET",100,100,2663,1.14e-08,2.12e-08,"****"
"Average path length","value","Aw","BSh",100,100,4796,0.619,0.642,"ns"
"Average path length","value","Aw","BSk",100,100,1948,8.92e-14,2.21e-13,"****"
"Average path length","value","Aw","BWh",100,100,10000,2.56e-34,1.88e-33,"****"
"Average path length","value","Aw","BWk",100,99,9900,3.74e-34,1.88e-33,"****"
"Average path length","value","Aw","Cfa",100,100,6063,0.009,0.012,"*"
"Average path length","value","Aw","Cfb",100,100,4223,0.058,0.068,"ns"
"Average path length","value","Aw","Csa",100,100,8530,6.47e-18,1.88e-17,"****"
"Average path length","value","Aw","Csb",100,100,3387,8.15e-05,0.000119,"***"
"Average path length","value","Aw","Cwb",100,100,7291,2.19e-08,3.94e-08,"****"
"Average path length","value","Aw","Dfa",100,100,6611,8.32e-05,0.000121,"***"
"Average path length","value","Aw","Dfb",100,100,4288,0.082,0.096,"ns"
"Average path length","value","Aw","Dfc",100,100,3879,0.006,0.008,"**"
"Average path length","value","Aw","Dwb",100,100,3620,0.00075,0.001,"**"
"Average path length","value","Aw","Dwc",100,100,5702,0.086,0.1,"ns"
"Average path length","value","Aw","EF",100,100,1201,1.68e-20,5.32e-20,"****"
"Average path length","value","Aw","ET",100,100,2129,2.32e-12,5.29e-12,"****"
"Average path length","value","BSh","BSk",100,100,1997,2.2e-13,5.3e-13,"****"
"Average path length","value","BSh","BWh",100,100,10000,2.56e-34,1.88e-33,"****"
"Average path length","value","BSh","BWk",100,99,9900,3.74e-34,1.88e-33,"****"
"Average path length","value","BSh","Cfa",100,100,6326,0.001,0.002,"**"
"Average path length","value","BSh","Cfb",100,100,4485,0.209,0.229,"ns"
"Average path length","value","BSh","Csa",100,100,8582,2.11e-18,6.33e-18,"****"
"Average path length","value","BSh","Csb",100,100,3547,0.000387,0.000547,"***"
"Average path length","value","BSh","Cwb",100,100,7416,3.59e-09,6.82e-09,"****"
"Average path length","value","BSh","Dfa",100,100,6829,7.91e-06,1.26e-05,"****"
"Average path length","value","BSh","Dfb",100,100,4601,0.33,0.353,"ns"
"Average path length","value","BSh","Dfc",100,100,4073,0.024,0.029,"*"
"Average path length","value","BSh","Dwb",100,100,3856,0.005,0.007,"**"
"Average path length","value","BSh","Dwc",100,100,5872,0.033,0.041,"*"
"Average path length","value","BSh","EF",100,100,1109,1.98e-21,6.64e-21,"****"
"Average path length","value","BSh","ET",100,100,2182,5.81e-12,1.29e-11,"****"
"Average path length","value","BSk","BWh",100,100,10000,2.56e-34,1.88e-33,"****"
"Average path length","value","BSk","BWk",100,99,9900,3.74e-34,1.88e-33,"****"
"Average path length","value","BSk","Cfa",100,100,8778,2.71e-20,8.43e-20,"****"
"Average path length","value","BSk","Cfb",100,100,7526,6.8e-10,1.35e-09,"****"
"Average path length","value","BSk","Csa",100,100,9886,7.58e-33,3.6e-32,"****"
"Average path length","value","BSk","Csb",100,100,6735,2.25e-05,3.44e-05,"****"
"Average path length","value","BSk","Cwb",100,100,9205,9.3e-25,3.7e-24,"****"
"Average path length","value","BSk","Dfa",100,100,9018,9.58e-23,3.49e-22,"****"
"Average path length","value","BSk","Dfb",100,100,7794,8.76e-12,1.9e-11,"****"
"Average path length","value","BSk","Dfc",100,100,7129,1.98e-07,3.39e-07,"****"
"Average path length","value","BSk","Dwb",100,100,7125,2.09e-07,3.54e-07,"****"
"Average path length","value","BSk","Dwc",100,100,8457,3.03e-17,8.36e-17,"****"
"Average path length","value","BSk","EF",100,100,3285,2.8e-05,4.24e-05,"****"
"Average path length","value","BSk","ET",100,100,4957,0.917,0.917,"ns"
"Average path length","value","BWh","BWk",100,99,7041,2.65e-07,4.44e-07,"****"
"Average path length","value","BWh","Cfa",100,100,0,2.56e-34,1.88e-33,"****"
"Average path length","value","BWh","Cfb",100,100,0,2.56e-34,1.88e-33,"****"
"Average path length","value","BWh","Csa",100,100,0,2.56e-34,1.88e-33,"****"
"Average path length","value","BWh","Csb",100,100,0,2.56e-34,1.88e-33,"****"
"Average path length","value","BWh","Cwb",100,100,0,2.56e-34,1.88e-33,"****"
"Average path length","value","BWh","Dfa",100,100,0,2.56e-34,1.88e-33,"****"
"Average path length","value","BWh","Dfb",100,100,0,2.56e-34,1.88e-33,"****"
"Average path length","value","BWh","Dfc",100,100,0,2.56e-34,1.88e-33,"****"
"Average path length","value","BWh","Dwb",100,100,0,2.56e-34,1.88e-33,"****"
"Average path length","value","BWh","Dwc",100,100,0,2.56e-34,1.88e-33,"****"
"Average path length","value","BWh","EF",100,100,0,2.56e-34,1.88e-33,"****"
"Average path length","value","BWh","ET",100,100,0,2.56e-34,1.88e-33,"****"
"Average path length","value","BWk","Cfa",99,100,0,3.74e-34,1.88e-33,"****"
"Average path length","value","BWk","Cfb",99,100,0,3.74e-34,1.88e-33,"****"
"Average path length","value","BWk","Csa",99,100,0,3.74e-34,1.88e-33,"****"
"Average path length","value","BWk","Csb",99,100,0,3.74e-34,1.88e-33,"****"
"Average path length","value","BWk","Cwb",99,100,0,3.74e-34,1.88e-33,"****"
"Average path length","value","BWk","Dfa",99,100,0,3.74e-34,1.88e-33,"****"
"Average path length","value","BWk","Dfb",99,100,0,3.74e-34,1.88e-33,"****"
