ClimateZone	nTaxa	Average path length	Transitivity	Modularity	Density	Run
Af	58	0.315688954870425	0.195652173913043	0.814697333934491	0.0223835450695705	1
Am	58	0.139643375501824	0.260869565217391	0.767791779614838	0.029038112522686	1
Aw	58	0.173665603283257	0.272727272727273	0.847939434970322	0.0223835450695705	1
BSh	58	0.210118451106694	0.1875	0.885967030848952	0.015124016938899	1
BSk	58	0.32143274475473	0.217391304347826	0.74002935170849	0.0241984271022384	1
BWh	58	0.0173022297452811		0.842731780709424	0.00483968542044767	1
BWk	58	0.0172280155501883	0	0.789761822347785	0.00483968542044767	1
Cfa	58	0.134828768245052	0.3	0.860577162509467	0.0193587416817907	1
Cfb	58	0.299573096646106	0.216867469879518	0.804465521921853	0.0308529945553539	1
Csa	58	0.112660526604544	0	0.881624627617946	0.0108892921960073	1
Csb	58	0.562123210861822	0.225	0.761053477579384	0.0223835450695705	1
Cwb	58	0.089487152760035	0.6	0.864030527508516	0.0120992135511192	1
Dfa	58	0.216554836823423	0.39344262295082	0.772951329072986	0.0217785843920145	1
Dfb	58	0.303292873497505	0	0.858491104501539	0.0139140955837871	1
Dfc	58	0.116976442013964	0.263157894736842	0.809152552679849	0.0254083484573503	1
Dwb	58	0.193391127252348	0	0.831507453296668	0.0114942528735632	1
Dwc	58	0.229109239497608	0	0.801326026968441	0.0181488203266788	1
EF	58	0.364309164090914	0	0.852590541504958	0.0217785843920145	1
ET	58	0.514865122801788	0	0.8479757684785	0.0266182698124622	1
Af	58	0.189895568950092	0.09375	0.843105656970623	0.0169388989715669	2
Am	58	0.230318279448094	0.0952380952380952	0.780667101869269	0.0248033877797943	2
Aw	58	0.245303898523716	0.0517241379310345	0.842490078196462	0.0248033877797943	2
BSh	58	0.13469406478635	0	0.874778945824109	0.0102843315184513	2
BSk	58	0.491092219157413	0.103448275862069	0.798665159437769	0.0235934664246824	2
BWh	58	0.021348845562286		0.779753903467286	0.00362976406533575	2
BWk	58	0.0150296858866925	0	0.378206835832551	0.00181488203266788	2
Cfa	58	0.147436394445629	0.181818181818182	0.768567579341166	0.0163339382940109	2
Cfb	58	0.323813865312518	0.208333333333333	0.791031778868096	0.0266182698124622	2
Csa	58	0.137777708657308	0	0.887780286601778	0.00846944948578343	2
Csb	58	0.262873184652719	0.15	0.804613114699589	0.0187537810042347	2
Cwb	58	0.179779001884766	0.115384615384615	0.775339853728829	0.015124016938899	2
Dfa	58	0.118885844782352	0.24	0.771939280948814	0.014519056261343	2
Dfb	58	0.35758136533545	0	0.85361418995568	0.0157289776164549	2
Dfc	58	0.268433011438853	0.210526315789474	0.788164578418804	0.0235934664246824	2
Dwb	58	0.283599064917473	0.214285714285714	0.848774795913425	0.0127041742286751	2
Dwc	58	0.144614988919639	0.183673469387755	0.809476667878963	0.0223835450695705	2
EF	58	0.353647985555475	0.155172413793103	0.683265181563204	0.0223835450695705	2
ET	58	0.544168942017449	0.1875	0.813944683449719	0.0266182698124622	2
Af	58	0.187287024577529	0.136363636363636	0.798840117858886	0.0235934664246824	3
Am	58	0.248693447151255	0.236842105263158	0.771226718936794	0.0266182698124622	3
Aw	58	0.178606239183246	0.189189189189189	0.683785117335621	0.0302480338777979	3
BSh	58	0.203453755319845	0	0.846888928177052	0.0139140955837871	3
BSk	58	0.327484671778352	0	0.778983140342276	0.0199637023593466	3
BWh	58	0.0223274886678143	0	0.785129173025576	0.00483968542044767	3
BWk	58	0.0161918590531164	0	0.665814884134049	0.00362976406533575	3
