"ClimateZone","level","from","to","x","n","n1","n2","pvalue","p.adj"
"Af","Kingdom","bacteria","bacteria",919,919,12208,0,0,0
"Af","Phylum","acidobacteria","acidobacteria",44,919,763,11445,0.969978134749938,0.974773637405762
"Af","Phylum","acidobacteria","actinobacteria",33,919,408,11800,0.29123385315559,0.379329988622128
"Af","Phylum","acidobacteria","bacteroidetes",32,919,517,11691,0.864084392521326,0.88218538861604
"Af","Phylum","acidobacteria","chloroflexi",11,919,105,12103,0.0957490721205762,0.173302805310649
"Af","Phylum","acidobacteria","cyanobacteria",3,919,12,12196,0.00967889924625809,0.0437814949558642
"Af","Phylum","acidobacteria","elusimicrobia",1,919,27,12181,0.61377358118005,0.668477394871215
"Af","Phylum","acidobacteria","firmicutes",8,919,56,12152,0.0230050105083979,0.072185149690131
"Af","Phylum","acidobacteria","gemmatimonadetes",16,919,288,11920,0.882025089996867,0.898081502753072
"Af","Phylum","acidobacteria","nitrospirae",8,919,96,12112,0.296236675230918,0.384165012273317
"Af","Phylum","acidobacteria","planctomycetes",21,919,247,11961,0.234289493915488,0.32364804281314
"Af","Phylum","acidobacteria","proteobacteria",162,919,1867,10341,0.0195471503522,0.0653199193461076
"Af","Phylum","acidobacteria","spirochaetes",2,919,14,12194,0.0829517168915323,0.158468678183159
"Af","Phylum","acidobacteria","verrucomicrobia",22,919,376,11832,0.877636722003518,0.893995531525676
"Af","Phylum","acidobacteria","ws3",1,919,38,12170,0.791289776026514,0.820684337428283
"Af","Phylum","actinobacteria","actinobacteria",19,919,217,11991,0.202196692674275,0.289139882763797
"Af","Phylum","actinobacteria","bacteroidetes",10,919,135,12073,0.438104114244089,0.514501470881454
"Af","Phylum","actinobacteria","chloroflexi",7,919,69,12139,0.145743469535589,0.230210085305106
"Af","Phylum","actinobacteria","firmicutes",3,919,43,12165,0.407761038278493,0.487243600690079
"Af","Phylum","actinobacteria","gemmatimonadetes",10,919,74,12134,0.0219439278255773,0.0700021797122914
"Af","Phylum","actinobacteria","nitrospirae",4,919,28,12180,0.055263655848752,0.121361609444927
"Af","Phylum","actinobacteria","planctomycetes",5,919,81,12127,0.577235426847923,0.636676995085406
"Af","Phylum","actinobacteria","proteobacteria",56,919,689,11519,0.242418552752731,0.331552673938009
"Af","Phylum","actinobacteria","verrucomicrobia",1,919,85,12123,0.989952011249649,0.991975479350075
"Af","Phylum","actinobacteria","ws3",2,919,13,12195,0.068893475769047,0.140269731858053
"Af","Phylum","armatimonadetes","bacteroidetes",1,919,12,12196,0.227088489222263,0.316137220275343
"Af","Phylum","armatimonadetes","planctomycetes",1,919,13,12195,0.25585121894103,0.345138241931781
"Af","Phylum","armatimonadetes","proteobacteria",3,919,23,12185,0.0899739957226113,0.166631840078276
"Af","Phylum","bacteroidetes","bacteroidetes",8,919,154,12054,0.828551887768816,0.851699220803616
"Af","Phylum","bacteroidetes","chloroflexi",2,919,30,12178,0.395575834260068,0.476715928381665
"Af","Phylum","bacteroidetes","cyanobacteria",3,919,14,12194,0.0173465916532676,0.0605640950307214
