"level","from","to","No. of climate zones","Climate zones"
"Kingdom","bacteria","bacteria",19,"Af/Am/Aw/BSh/BSk/BWh/BWk/Cfa/Cfb/Csa/Csb/Cwb/Dfa/Dfb/Dfc/Dwb/Dwc/EF/ET"
"Phylum","acidobacteria","cyanobacteria",2,"Af/Am"
"Phylum","acidobacteria","spirochaetes",1,"Aw"
"Phylum","acidobacteria","gemmatimonadetes",3,"Aw/Dwc/ET"
"Phylum","acidobacteria","nitrospirae",1,"BWk"
"Phylum","acidobacteria","proteobacteria",1,"Csb"
"Phylum","acidobacteria","acidobacteria",1,"Dfa"
"Phylum","acidobacteria","bacteroidetes",1,"Dwc"
"Phylum","acidobacteria","planctomycetes",1,"ET"
"Phylum","actinobacteria","gemmatimonadetes",1,"Am"
"Phylum","actinobacteria","spirochaetes",2,"Am/Aw"
"Phylum","actinobacteria","verrucomicrobia",2,"Aw/Cwb"
"Phylum","actinobacteria","firmicutes",2,"BSh/Cfa"
"Phylum","actinobacteria","planctomycetes",2,"BSk/BWh"
"Phylum","actinobacteria","elusimicrobia",2,"BSk/Csb"
"Phylum","actinobacteria","actinobacteria",3,"Csa/Dfa/Dwc"
"Phylum","actinobacteria","ws3",1,"Csb"
"Phylum","actinobacteria","cyanobacteria",2,"Csb/Dfb"
"Phylum","actinobacteria","chloroflexi",2,"Cwb/Dfa"
"Phylum","actinobacteria","bacteroidetes",2,"Dfc/Dwb"
"Phylum","actinobacteria","armatimonadetes",1,"Dwb"
"Phylum","armatimonadetes","nitrospirae",2,"BSh/Csb"
"Phylum","armatimonadetes","ws3",1,"BSk"
"Phylum","armatimonadetes","verrucomicrobia",2,"BSk/Dfb"
"Phylum","armatimonadetes","gemmatimonadetes",2,"Cfb/Cwb"
"Phylum","armatimonadetes","bacteroidetes",1,"Dfa"
"Phylum","armatimonadetes","planctomycetes",1,"Dfb"
"Phylum","bacteroidetes","nitrospirae",1,"Am"
"Phylum","bacteroidetes","chloroflexi",1,"BSh"
"Phylum","bacteroidetes","gemmatimonadetes",2,"BWh/Dwc"
"Phylum","bacteroidetes","firmicutes",1,"Csb"
"Phylum","bacteroidetes","cyanobacteria",2,"Cwb/ET"
"Phylum","bacteroidetes","bacteroidetes",1,"Dwc"
"Phylum","chloroflexi","spirochaetes",2,"Aw/Cfa"
"Phylum","chloroflexi","cyanobacteria",1,"BSh"
"Phylum","chloroflexi","ws3",1,"BSk"
"Phylum","chloroflexi","verrucomicrobia",1,"BWk"
"Phylum","chloroflexi","elusimicrobia",1,"Cfa"
"Phylum","chloroflexi","gemmatimonadetes",1,"Csa"
"Phylum","chloroflexi","proteobacteria",1,"Dfb"
"Phylum","chloroflexi","firmicutes",1,"EF"
"Phylum","chloroflexi","planctomycetes",1,"ET"
"Phylum","cyanobacteria","gemmatimonadetes",1,"Af"
"Phylum","cyanobacteria","proteobacteria",1,"BSh"
"Phylum","cyanobacteria","spirochaetes",2,"BSk/Cfb"
"Phylum","cyanobacteria","ws3",1,"Cfa"
"Phylum","cyanobacteria","elusimicrobia",1,"Cfb"
"Phylum","cyanobacteria","verrucomicrobia",1,"Cfb"
"Phylum","cyanobacteria","nitrospirae",1,"Csb"
"Phylum","cyanobacteria","planctomycetes",1,"Csb"
"Phylum","cyanobacteria","firmicutes",1,"ET"
"Phylum","elusimicrobia","firmicutes",1,"Af"
"Phylum","elusimicrobia","verrucomicrobia",1,"BSk"
"Phylum","elusimicrobia","nitrospirae",1,"Cfb"
"Phylum","elusimicrobia","gemmatimonadetes",1,"Dfb"
"Phylum","elusimicrobia","proteobacteria",1,"Dwb"
"Phylum","elusimicrobia","planctomycetes",1,"ET"
"Phylum","firmicutes","gemmatimonadetes",2,"Af/Cwb"
"Phylum","firmicutes","spirochaetes",2,"Af/Dwb"
"Phylum","firmicutes","planctomycetes",1,"BSk"
"Phylum","firmicutes","verrucomicrobia",1,"Csa"
"Phylum","firmicutes","nitrospirae",1,"Cwb"
"Phylum","firmicutes","ws3",1,"Dwb"
"Phylum","firmicutes","proteobacteria",1,"EF"
"Phylum","gemmatimonadetes","planctomycetes",1,"Aw"
"Phylum","gemmatimonadetes","proteobacteria",1,"BSk"
"Phylum","gemmatimonadetes","ws3",1,"Csb"
"Phylum","gemmatimonadetes","gemmatimonadetes",1,"Dfa"
"Phylum","gemmatimonadetes","verrucomicrobia",1,"Dwb"
"Phylum","nitrospirae","proteobacteria",1,"Am"
"Phylum","nitrospirae","spirochaetes",1,"Cfb"
"Phylum","nitrospirae","nitrospirae",1,"Dfa"
"Phylum","nitrospirae","planctomycetes",1,"Dfb"
"Phylum","planctomycetes","ws3",1,"Am"
"Phylum","planctomycetes","planctomycetes",3,"Csb/Dfb/Dfc"
"Phylum","proteobacteria","ws3",1,"BSh"
"Phylum","proteobacteria","verrucomicrobia",2,"Csa/Cwb"
"Phylum","proteobacteria","proteobacteria",2,"Csa/Dfc"
"Phylum","proteobacteria","spirochaetes",1,"Dfb"
"Phylum","spirochaetes","ws3",2,"BSk/Dwc"
"Phylum","verrucomicrobia","ws3",2,"Af/BSh"
"Phylum","ws3","ws3",1,"Dfa"
"Class","1","actinobacteria",2,"Af/Am"
"Class","1","acidobacteriia",2,"Af/ET"
"Class","1","1",2,"Am/Dfa"
"Class","1","c6",2,"Am/Dfb"
"Class","1","betaproteobacteria",1,"Aw"
"Class","1","cytophagia",1,"Aw"
"Class","1","da052",1,"Aw"
"Class","1","flavobacteriia",1,"Aw"
"Class","1","gammaproteobacteria",1,"Aw"
"Class","1","ellin6529",2,"BSh/Csa"
"Class","1","gemm",1,"BWh"
"Class","1","12",1,"Csb"
"Class","1","5",1,"Cwb"
"Class","1","bacilli",1,"Cwb"
"Class","1","acidimicrobiia",1,"ET"
"Class","1","chloracidobacteria",1,"ET"
"Class","12","acidimicrobiia",1,"Af"
"Class","12","opitutae",1,"Af"
"Class","12","pauc37f",1,"Am"
"Class","12","c6",2,"Am/Cfb"
"Class","12","acidobacteriia",1,"BSh"
"Class","12","chloracidobacteria",1,"BSh"
"Class","12","deltaproteobacteria",1,"BSh"
"Class","12","pedosphaerae",1,"BSh"
"Class","12","alphaproteobacteria",3,"BSh/BSk/Dfa"
"Class","12","gammaproteobacteria",2,"BSh/Dfb"
"Class","12","ellin6529",1,"BSk"
"Class","12","fimbriimonadia",1,"BSk"
"Class","12","leptospirae",2,"BSk/Dwc"
"Class","12","chloroplast",1,"Cfa"
"Class","12","cytophagia",1,"Csb"
"Class","12","gemmatimonadetes",1,"Csb"
"Class","12","12",1,"Dfa"
"Class","12","actinobacteria",1,"Dfb"
"Class","12","5",1,"Dfc"
"Class","12","da052",1,"Dfc"
"Class","12","8",1,"Dwb"
"Class","12","bacilli",1,"Dwb"
"Class","5","8",1,"BSk"
"Class","5","acidimicrobiia",1,"Cfb"
"Class","5","acidobacteria",2,"Cwb/Dfc"
"Class","6","6",1,"BWk"
"Class","6","acidobacteria",1,"BWk"
"Class","8","flavobacteriia",2,"Af/Am"
"Class","8","actinobacteria",2,"Am/Aw"
"Class","8","bacilli",1,"BSh"
"Class","8","alphaproteobacteria",1,"BSk"
"Class","8","acidimicrobiia",3,"BSk/EF/ET"
"Class","8","iii1",2,"BWh/ET"
"Class","8","acidobacteriia",1,"Cfa"
"Class","8","chloroplast",1,"Cfa"
