"level","from","to","No of ClimateZones","ClimateZones"
"Kingdom","bacteria","bacteria",19,"Af, Am, Aw, BSh, BSk, BWh, BWk, Cfa, Cfb, Csa, Csb, Cwb, Dfa, Dfb, Dfc, Dwb, Dwc, EF, ET"
"Phylum","acidobacteria","proteobacteria",19,"Af, Am, Aw, BSh, BSk, BWh, BWk, Cfa, Cfb, Csa, Csb, Cwb, Dfa, Dfb, Dfc, Dwb, Dwc, EF, ET"
"Phylum","proteobacteria","proteobacteria",19,"Af, Am, Aw, BSh, BSk, BWh, BWk, Cfa, Cfb, Csa, Csb, Cwb, Dfa, Dfb, Dfc, Dwb, Dwc, EF, ET"
"Phylum","actinobacteria","proteobacteria",19,"Af, Am, Aw, BSh, BSk, BWh, BWk, Cfa, Cfb, Csa, Csb, Cwb, Dfa, Dfb, Dfc, Dwb, Dwc, EF, ET"
"Phylum","acidobacteria","acidobacteria",19,"Af, Am, Aw, BSh, BSk, BWh, BWk, Cfa, Cfb, Csa, Csb, Cwb, Dfa, Dfb, Dfc, Dwb, Dwc, EF, ET"
"Phylum","acidobacteria","actinobacteria",19,"Af, Am, Aw, BSh, BSk, BWh, BWk, Cfa, Cfb, Csa, Csb, Cwb, Dfa, Dfb, Dfc, Dwb, Dwc, EF, ET"
"Phylum","acidobacteria","bacteroidetes",18,"Af, Am, Aw, BSh, BSk, BWh, Cfa, Cfb, Csa, Csb, Cwb, Dfa, Dfb, Dfc, Dwb, Dwc, EF, ET"
"Phylum","planctomycetes","proteobacteria",18,"Af, Am, Aw, BSh, BSk, BWh, BWk, Cfa, Cfb, Csb, Cwb, Dfa, Dfb, Dfc, Dwb, Dwc, EF, ET"
"Phylum","acidobacteria","planctomycetes",18,"Af, Am, Aw, BSh, BSk, BWh, Cfa, Cfb, Csa, Csb, Cwb, Dfa, Dfb, Dfc, Dwb, Dwc, EF, ET"
"Phylum","actinobacteria","actinobacteria",18,"Af, Am, Aw, BSh, BSk, BWh, Cfa, Cfb, Csa, Csb, Cwb, Dfa, Dfb, Dfc, Dwb, Dwc, EF, ET"
"Phylum","bacteroidetes","proteobacteria",17,"Af, Am, Aw, BSh, BSk, Cfa, Cfb, Csa, Csb, Cwb, Dfa, Dfb, Dfc, Dwb, Dwc, EF, ET"
"Phylum","proteobacteria","verrucomicrobia",17,"Af, Am, Aw, BSh, BSk, Cfa, Cfb, Csa, Csb, Cwb, Dfa, Dfb, Dfc, Dwb, Dwc, EF, ET"
"Phylum","acidobacteria","verrucomicrobia",17,"Af, Am, Aw, BSh, BSk, Cfa, Cfb, Csa, Csb, Cwb, Dfa, Dfb, Dfc, Dwb, Dwc, EF, ET"
"Phylum","chloroflexi","proteobacteria",17,"Af, Am, Aw, BSh, BSk, Cfa, Cfb, Csa, Csb, Cwb, Dfa, Dfb, Dfc, Dwb, Dwc, EF, ET"
"Phylum","actinobacteria","bacteroidetes",17,"Af, Am, Aw, BSh, BSk, BWh, Cfa, Cfb, Csa, Csb, Cwb, Dfb, Dfc, Dwb, Dwc, EF, ET"
"Phylum","bacteroidetes","verrucomicrobia",17,"Af, Am, Aw, BSh, BSk, Cfa, Cfb, Csa, Csb, Cwb, Dfa, Dfb, Dfc, Dwb, Dwc, EF, ET"
"Phylum","bacteroidetes","gemmatimonadetes",17,"Af, Am, Aw, BSh, BSk, BWh, Cfa, Cfb, Csb, Cwb, Dfa, Dfb, Dfc, Dwb, Dwc, EF, ET"
"Phylum","acidobacteria","firmicutes",17,"Af, Am, Aw, BSh, BSk, Cfa, Cfb, Csa, Csb, Cwb, Dfa, Dfb, Dfc, Dwb, Dwc, EF, ET"
"Phylum","gemmatimonadetes","proteobacteria",16,"Af, Am, Aw, BSh, BSk, Cfa, Cfb, Csb, Cwb, Dfa, Dfb, Dfc, Dwb, Dwc, EF, ET"
"Phylum","acidobacteria","gemmatimonadetes",16,"Af, Am, Aw, BSh, BSk, Cfa, Cfb, Csb, Cwb, Dfa, Dfb, Dfc, Dwb, Dwc, EF, ET"
"Phylum","nitrospirae","proteobacteria",16,"Af, Am, Aw, BSh, BSk, Cfa, Cfb, Csb, Cwb, Dfa, Dfb, Dfc, Dwb, Dwc, EF, ET"
"Phylum","acidobacteria","chloroflexi",16,"Af, Am, Aw, BSh, BSk, Cfa, Cfb, Csb, Cwb, Dfa, Dfb, Dfc, Dwb, Dwc, EF, ET"
"Phylum","actinobacteria","gemmatimonadetes",16,"Af, Am, Aw, BSh, BSk, Cfa, Cfb, Csb, Cwb, Dfa, Dfb, Dfc, Dwb, Dwc, EF, ET"
"Phylum","bacteroidetes","bacteroidetes",16,"Af, Am, Aw, BSh, BSk, Cfa, Cfb, Csb, Cwb, Dfa, Dfb, Dfc, Dwb, Dwc, EF, ET"
"Phylum","acidobacteria","nitrospirae",16,"Af, Am, Aw, BSh, BSk, BWk, Cfa, Cfb, Csb, Cwb, Dfa, Dfb, Dfc, Dwb, Dwc, ET"
"Phylum","firmicutes","proteobacteria",16,"Af, Am, Aw, BSh, BSk, Cfa, Cfb, Csa, Csb, Cwb, Dfb, Dfc, Dwb, Dwc, EF, ET"
"Phylum","planctomycetes","verrucomicrobia",16,"Af, Am, Aw, BSh, BSk, Cfa, Cfb, Csb, Cwb, Dfa, Dfb, Dfc, Dwb, Dwc, EF, ET"
"Phylum","actinobacteria","planctomycetes",16,"Af, Am, Aw, BSh, BSk, BWh, Cfa, Cfb, Csb, Dfa, Dfb, Dfc, Dwb, Dwc, EF, ET"
"Phylum","actinobacteria","verrucomicrobia",16,"Af, Am, Aw, BSh, BSk, Cfa, Cfb, Csb, Cwb, Dfa, Dfb, Dfc, Dwb, Dwc, EF, ET"
"Phylum","actinobacteria","chloroflexi",15,"Af, Am, Aw, BSh, BSk, Cfa, Cfb, Csb, Cwb, Dfa, Dfb, Dwb, Dwc, EF, ET"
"Phylum","gemmatimonadetes","verrucomicrobia",15,"Af, Am, Aw, BSk, Cfa, Cfb, Csb, Cwb, Dfa, Dfb, Dfc, Dwb, Dwc, EF, ET"
"Phylum","verrucomicrobia","verrucomicrobia",15,"Af, Am, Aw, BSk, Cfa, Cfb, Csb, Cwb, Dfa, Dfb, Dfc, Dwb, Dwc, EF, ET"
