"ClimateZone","level","from","to","Negative co-occurrence links","Positive co-occurrence links"
"Af","Kingdom","bacteria","bacteria",0.251018744906275,0.748981255093725
"Af","Phylum","acidobacteria","proteobacteria",0.0472697636511817,0.132029339853301
"Af","Phylum","proteobacteria","proteobacteria",0.0399348003259984,0.113284433577832
"Af","Phylum","actinobacteria","proteobacteria",0.0162999185004075,0.045639771801141
"Af","Phylum","acidobacteria","actinobacteria",0.0114099429502852,0.0268948655256724
"Af","Phylum","acidobacteria","acidobacteria",0.0105949470252649,0.0358598207008965
"Af","Phylum","proteobacteria","verrucomicrobia",0.0105949470252649,0.0203748981255094
"Af","Phylum","bacteroidetes","proteobacteria",0.0097799511002445,0.0497147514262429
"Af","Phylum","gemmatimonadetes","proteobacteria",0.0097799511002445,0.019559902200489
"Af","Phylum","planctomycetes","proteobacteria",0.00896495517522412,0.0220048899755501
"Af","Phylum","actinobacteria","bacteroidetes",0.006519967400163,0.00814995925020375
"Af","Phylum","chloroflexi","proteobacteria",0.006519967400163,0.0146699266503667
"Af","Phylum","acidobacteria","verrucomicrobia",0.00488997555012225,0.0179299103504482
"Af","Phylum","firmicutes","proteobacteria",0.00488997555012225,0.00488997555012225
"Af","Phylum","acidobacteria","bacteroidetes",0.00407497962510187,0.026079869600652
"Af","Phylum","acidobacteria","planctomycetes",0.00407497962510187,0.0171149144254279
"Af","Phylum","acidobacteria","chloroflexi",0.0032599837000815,0.00896495517522412
"Af","Phylum","acidobacteria","cyanobacteria",0.0032599837000815,0.00244498777506113
"Af","Phylum","acidobacteria","firmicutes",0.0032599837000815,0.006519967400163
"Af","Phylum","acidobacteria","gemmatimonadetes",0.0032599837000815,0.013039934800326
"Af","Phylum","bacteroidetes","nitrospirae",0.0032599837000815,0.000814995925020375
"Af","Phylum","bacteroidetes","verrucomicrobia",0.0032599837000815,0.00733496332518337
"Af","Phylum","nitrospirae","proteobacteria",0.0032599837000815,0.0114099429502852
"Af","Phylum","bacteroidetes","planctomycetes",0.00244498777506113,0.006519967400163
"Af","Phylum","acidobacteria","elusimicrobia",0.00162999185004075,0.000814995925020375
"Af","Phylum","actinobacteria","firmicutes",0.00162999185004075,0.00244498777506113
"Af","Phylum","actinobacteria","gemmatimonadetes",0.00162999185004075,0.00814995925020375
"Af","Phylum","actinobacteria","verrucomicrobia",0.00162999185004075,0.000814995925020375
"Af","Phylum","bacteroidetes","bacteroidetes",0.00162999185004075,0.006519967400163
"Af","Phylum","bacteroidetes","chloroflexi",0.00162999185004075,0.00162999185004075
"Af","Phylum","chloroflexi","elusimicrobia",0.00162999185004075,0
"Af","Phylum","cyanobacteria","proteobacteria",0.00162999185004075,0.006519967400163
"Af","Phylum","gemmatimonadetes","verrucomicrobia",0.00162999185004075,0.00488997555012225
"Af","Phylum","proteobacteria","ws3",0.00162999185004075,0.00407497962510187
"Af","Phylum","acidobacteria","spirochaetes",0.000814995925020375,0.00162999185004075
"Af","Phylum","actinobacteria","elusimicrobia",0.000814995925020375,0
"Af","Phylum","actinobacteria","planctomycetes",0.000814995925020375,0.00407497962510187
"Af","Phylum","actinobacteria","ws3",0.000814995925020375,0.00162999185004075
"Af","Phylum","armatimonadetes","nitrospirae",0.000814995925020375,0
"Af","Phylum","bacteroidetes","gemmatimonadetes",0.000814995925020375,0.006519967400163
"Af","Phylum","chloroflexi","gemmatimonadetes",0.000814995925020375,0
"Af","Phylum","chloroflexi","planctomycetes",0.000814995925020375,0.000814995925020375
"Af","Phylum","elusimicrobia","nitrospirae",0.000814995925020375,0
"Af","Phylum","elusimicrobia","proteobacteria",0.000814995925020375,0.00162999185004075
"Af","Phylum","gemmatimonadetes","planctomycetes",0.000814995925020375,0.00244498777506113
"Af","Phylum","nitrospirae","planctomycetes",0.000814995925020375,0.00162999185004075
"Af","Phylum","nitrospirae","spirochaetes",0.000814995925020375,0
"Af","Phylum","nitrospirae","verrucomicrobia",0.000814995925020375,0.00162999185004075
"Af","Phylum","planctomycetes","ws3",0.000814995925020375,0.000814995925020375
"Af","Phylum","proteobacteria","spirochaetes",0.000814995925020375,0
"Af","Phylum","spirochaetes","verrucomicrobia",0.000814995925020375,0.000814995925020375
"Af","Phylum","acidobacteria","nitrospirae",0,0.006519967400163
"Af","Phylum","acidobacteria","ws3",0,0.000814995925020375
"Af","Phylum","actinobacteria","actinobacteria",0,0.0154849225753871
"Af","Phylum","actinobacteria","chloroflexi",0,0.00570497147514262
"Af","Phylum","actinobacteria","nitrospirae",0,0.0032599837000815
"Af","Phylum","armatimonadetes","bacteroidetes",0,0.000814995925020375
"Af","Phylum","armatimonadetes","planctomycetes",0,0.000814995925020375
"Af","Phylum","armatimonadetes","proteobacteria",0,0.00244498777506113
"Af","Phylum","bacteroidetes","cyanobacteria",0,0.00244498777506113
"Af","Phylum","bacteroidetes","elusimicrobia",0,0.000814995925020375
"Af","Phylum","bacteroidetes","firmicutes",0,0.000814995925020375
"Af","Phylum","bacteroidetes","ws3",0,0.00244498777506113
"Af","Phylum","chloroflexi","nitrospirae",0,0.000814995925020375
"Af","Phylum","chloroflexi","verrucomicrobia",0,0.00244498777506113
"Af","Phylum","cyanobacteria","gemmatimonadetes",0,0.00244498777506113
"Af","Phylum","elusimicrobia","firmicutes",0,0.000814995925020375
"Af","Phylum","elusimicrobia","planctomycetes",0,0.000814995925020375
"Af","Phylum","firmicutes","firmicutes",0,0.000814995925020375
"Af","Phylum","firmicutes","gemmatimonadetes",0,0.00407497962510187
"Af","Phylum","firmicutes","nitrospirae",0,0.000814995925020375
"Af","Phylum","firmicutes","planctomycetes",0,0.000814995925020375
"Af","Phylum","firmicutes","spirochaetes",0,0.000814995925020375
"Af","Phylum","firmicutes","verrucomicrobia",0,0.00244498777506113
"Af","Phylum","gemmatimonadetes","gemmatimonadetes",0,0.00244498777506113
"Af","Phylum","gemmatimonadetes","spirochaetes",0,0.000814995925020375
"Af","Phylum","nitrospirae","ws3",0,0.000814995925020375
"Af","Phylum","planctomycetes","planctomycetes",0,0.00244498777506113
"Af","Phylum","planctomycetes","spirochaetes",0,0.000814995925020375
"Af","Phylum","planctomycetes","verrucomicrobia",0,0.00407497962510187
"Af","Phylum","verrucomicrobia","verrucomicrobia",0,0.00407497962510187
"Af","Phylum","verrucomicrobia","ws3",0,0.0032599837000815
"Af","Class","alphaproteobacteria","deltaproteobacteria",0.0097799511002445,0.0146699266503667
"Af","Class","alphaproteobacteria","gammaproteobacteria",0.006519967400163,0.0162999185004075
"Af","Class","actinobacteria","alphaproteobacteria",0.00570497147514262,0.00814995925020375
"Af","Class","alphaproteobacteria","chloracidobacteria",0.00570497147514262,0.0171149144254279
"Af","Class","acidobacteria-6","alphaproteobacteria",0.00407497962510187,0.00896495517522412
"Af","Class","alphaproteobacteria","alphaproteobacteria",0.00407497962510187,0.0268948655256724
"Af","Class","alphaproteobacteria","betaproteobacteria",0.00407497962510187,0.0138549307253464
"Af","Class","chloracidobacteria","gammaproteobacteria",0.00407497962510187,0.00488997555012225
"Af","Class","deltaproteobacteria","gammaproteobacteria",0.00407497962510187,0.006519967400163
"Af","Class","actinobacteria","chloracidobacteria",0.0032599837000815,0.0032599837000815
"Af","Class","alphaproteobacteria","iii1-8",0.0032599837000815,0.00162999185004075
"Af","Class","alphaproteobacteria","solibacteres",0.0032599837000815,0.0097799511002445
"Af","Class","chloracidobacteria","deltaproteobacteria",0.0032599837000815,0.00407497962510187
"Af","Class","acidobacteria-6","betaproteobacteria",0.00244498777506113,0.006519967400163
"Af","Class","acidobacteria-6","gemmatimonadetes",0.00244498777506113,0
"Af","Class","acidobacteriia","alphaproteobacteria",0.00244498777506113,0.013039934800326
"Af","Class","alphaproteobacteria","bacilli",0.00244498777506113,0.000814995925020375
"Af","Class","alphaproteobacteria","gemm-1",0.00244498777506113,0.000814995925020375
"Af","Class","alphaproteobacteria","nitrospira",0.00244498777506113,0.006519967400163
"Af","Class","alphaproteobacteria","planctomycetia",0.00244498777506113,0.006519967400163
"Af","Class","betaproteobacteria","deltaproteobacteria",0.00244498777506113,0.0122249388753056
"Af","Class","betaproteobacteria","gemmatimonadetes",0.00244498777506113,0.0032599837000815
"Af","Class","betaproteobacteria","planctomycetia",0.00244498777506113,0.006519967400163
"Af","Class","chloracidobacteria","thermoleophilia",0.00244498777506113,0.000814995925020375
"Af","Class","gammaproteobacteria","thermoleophilia",0.00244498777506113,0.00488997555012225
