"Climate zone","No. of nodes","No. of edges","Ratio"
"Af",296,1227,4.14527027027027
"Am",276,1258,4.55797101449275
"Aw",286,1286,4.4965034965035
"BSh",214,502,2.34579439252336
"BSk",251,876,3.49003984063745
"BWh",78,22,0.282051282051282
"BWk",86,9,0.104651162790698
"Cfa",298,1297,4.35234899328859
"Cfb",298,1514,5.08053691275168
"Csa",126,126,1
"Csb",296,1351,4.56418918918919
"Cwb",220,504,2.29090909090909
"Dfa",298,1256,4.21476510067114
"Dfb",296,1220,4.12162162162162
"Dfc",293,1236,4.21843003412969
"Dwb",283,927,3.2756183745583
"Dwc",291,1190,4.0893470790378
"EF",187,543,2.90374331550802
"ET",254,962,3.78740157480315
