Taxa	ClimateZone	nTaxa	degree	between	close	eigenv	Kingdom	Phylum	Class	Order	Family	Genus	Species
Taxa1	Csa	114	0.0164570718832479	0.00214585135404884	12.0798135117337	0.000534297150883905	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Syntrophobacterales	f__Syntrophobacteraceae	g__	s__
Taxa1	Dfa	114	0.0238938053097345	0.0338258533501896	6.04474212591838	0.000858259607998737	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Syntrophobacterales	f__Syntrophobacteraceae	g__	s__
Taxa1	Am	114	0.0217216411906677	0.0446931387196874	4.02874926993302	0.0236225579642218	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Syntrophobacterales	f__Syntrophobacteraceae	g__	s__
Taxa1	Cfa	114	0.018141592920354	0.0201801517067004	31.4401975900657	0.164280985244429	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Syntrophobacterales	f__Syntrophobacteraceae	g__	s__
Taxa1	Cfb	114	0.0232300884955752	0.0320105088495575	3.72680040772879	0.0626481644141095	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Syntrophobacterales	f__Syntrophobacteraceae	g__	s__
Taxa1	Dfb	114	0.00884955752212389	0.0014046916701784	4.39524377896488	0.00918879808292154	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Syntrophobacterales	f__Syntrophobacteraceae	g__	s__
Taxa1	Dwb	114	0.0108161258603736	0.00893735075151004	2.98409560671615	0.000930396798339178	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Syntrophobacterales	f__Syntrophobacteraceae	g__	s__
Taxa1	BSh	114	0.0233306516492357	0.0447697582653335	2.51785554976664	0.00800631929732277	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Syntrophobacterales	f__Syntrophobacteraceae	g__	s__
Taxa1	Cwb	114	0.0110619469026549	0.00665974354343507	7.95863576512513	0.000296750321738415	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Syntrophobacterales	f__Syntrophobacteraceae	g__	s__
Taxa1	Dwc	114	0.00816882232811436	0.0121073616648838	4.81040473651498	0.00151213706912445	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Syntrophobacterales	f__Syntrophobacteraceae	g__	s__
Taxa1	EF	114	0.00943952802359882	0.00203329119258323	3.80287954046343	0.0159989633812928	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Syntrophobacterales	f__Syntrophobacteraceae	g__	s__
Taxa1	Csb	114	0.00927096502317741	6.77262055264584e-05	4.47407583928148	0.000912065947040522	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Syntrophobacterales	f__Syntrophobacteraceae	g__	s__
Taxa1	Af	114	0.00934119960668633	0.0134938193566512	3.27803375768753	0.000545963190088295	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Syntrophobacterales	f__Syntrophobacteraceae	g__	s__
Taxa1	ET	114	0.0121681415929204	0.0125237041719343	3.1925983881067	0.00287174441037533	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Syntrophobacterales	f__Syntrophobacteraceae	g__	s__
Taxa1	BSk	114	0.0223345975558365	0.0425395822045632	5.96719749769547	0.00511088392640938	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Syntrophobacterales	f__Syntrophobacteraceae	g__	s__
Taxa1	Dfc	114	0.0183312262958281	0.0484355246523388	3.68197555155212	0.0301600238508947	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Syntrophobacterales	f__Syntrophobacteraceae	g__	s__
Taxa1	Aw	114	0.0168946098149638	0.0281720491897483	2.50339369453207	0.00962935423834902	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Syntrophobacterales	f__Syntrophobacteraceae	g__	s__
Taxa10	Cfa	114	0.0154867256637168	0.0325537294563843	3.53116422213308	0.00672664480748491	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__	s__
Taxa10	Dfb	114	0.0120675784392599	0.0190639007010688	6.72398420800638	1.73669725214223e-05	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__	s__
Taxa10	Dwb	114	0.00752212389380531	0.00344500632111252	2.38313766627376	0.00170626253999519	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__	s__
Taxa10	Dwc	114	0.0154867256637168	0.0387299831437	3.61624004386695	3.7338060457089e-08	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__	s__
Taxa10	Csa	114	0.0139983909895414	0.00254281117112976	4.66450877017543	0.0101530216556728	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__	s__
Taxa10	Cfb	114	0.0170183798502383	0.0381090148789264	3.60247654846052	0.0135693894873947	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__	s__
Taxa10	Csb	114	0.017146017699115	0.0420156447534766	2.82638315781285	0.0121298444351114	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__	s__
Taxa10	Dfa	114	0.0206489675516224	0.0393752633796882	4.70185323365133	0.000270387281956586	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__	s__
Taxa10	Dfc	114	0.0117994100294985	0.00454066582385166	3.0774649022347	0.000393994101217248	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__	s__
Taxa10	EF	114	0.0173939578883125	0.0149635991106849	2.4823712072722	0.0197732647062177	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__	s__
Taxa10	ET	114	0.0161600615621393	0.0211001484087286	2.57583132946157	0.0416272946142187	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__	s__
