".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"degree","Af","Am",643,556,172835,0.322,1,"ns"
"degree","Af","Aw",643,609,214662,0.003,0.089,"ns"
"degree","Af","BSh",643,425,199694,2.12e-37,2.73e-35,"****"
"degree","Af","BSk",643,537,174024.5,0.813,1,"ns"
"degree","Af","BWh",643,152,76901,3.43e-28,3.84e-26,"****"
"degree","Af","BWk",643,161,89715,5e-47,7.45e-45,"****"
"degree","Af","Cfa",643,653,256702.5,3.87e-12,2.59e-10,"****"
"degree","Af","Cfb",643,653,218455.5,0.206,1,"ns"
"degree","Af","Csa",643,199,114854,1.39e-64,2.36e-62,"****"
"degree","Af","Csb",643,645,265267.5,4.14e-18,3.44e-16,"****"
"degree","Af","Cwb",643,434,214098,3.65e-50,5.58e-48,"****"
"degree","Af","Dfa",643,652,297304.5,8.09e-39,1.08e-36,"****"
"degree","Af","Dfb",643,650,290611,5.04e-34,6.05e-32,"****"
"degree","Af","Dfc",643,636,227219.5,0.000573,0.019,"*"
"degree","Af","Dwb",643,608,300087.5,2.62e-60,4.3e-58,"****"
"degree","Af","Dwc",643,640,273058,3.6e-24,3.6e-22,"****"
"degree","Af","EF",643,348,84027.5,9.39e-11,5.82e-09,"****"
"degree","Af","ET",643,536,167067.5,0.367,1,"ns"
"degree","Am","Aw",556,609,191228,0.000132,0.005,"**"
"degree","Am","BSh",556,425,176079.5,1.25e-39,1.71e-37,"****"
"degree","Am","BSk",556,537,155576.5,0.228,1,"ns"
"degree","Am","BWh",556,152,67206.5,6e-29,6.78e-27,"****"
"degree","Am","BWk",556,161,77865,2.03e-46,3e-44,"****"
"degree","Am","Cfa",556,653,226262.5,1.44e-13,1.07e-11,"****"
"degree","Am","Cfb",556,653,194329.5,0.034,0.656,"ns"
"degree","Am","Csa",556,199,99638,3.12e-63,5.27e-61,"****"
"degree","Am","Csb",556,645,235825.5,4.12e-21,3.75e-19,"****"
"degree","Am","Cwb",556,434,187741,4.75e-51,7.36e-49,"****"
"degree","Am","Dfa",556,652,260335,4e-39,5.36e-37,"****"
"degree","Am","Dfb",556,650,257091,8.63e-37,1.1e-34,"****"
"degree","Am","Dfc",556,636,202192.5,1.86e-05,0.000781,"***"
"degree","Am","Dwb",556,608,263728.5,2.18e-61,3.6e-59,"****"
"degree","Am","Dwc",556,640,240551.5,7.55e-26,7.85e-24,"****"
"degree","Am","EF",556,348,75350.5,2.14e-08,1.16e-06,"****"
"degree","Am","ET",556,536,149086,0.988,1,"ns"
"degree","Aw","BSh",609,425,177250.5,4.28e-24,4.24e-22,"****"
"degree","Aw","BSk",609,537,148751,0.008,0.199,"ns"
"degree","Aw","BWh",609,152,69929.5,1.79e-22,1.72e-20,"****"
"degree","Aw","BWk",609,161,82476,1.59e-40,2.19e-38,"****"
"degree","Aw","Cfa",609,653,226629.5,1.74e-05,0.000748,"***"
"degree","Aw","Cfb",609,653,188832.5,0.122,1,"ns"
"degree","Aw","Csa",609,199,106376,9.78e-58,1.57e-55,"****"
"degree","Aw","Csb",609,645,231437.5,4.6e-08,2.44e-06,"****"
"degree","Aw","Cwb",609,434,192029.5,8.82e-36,1.11e-33,"****"
"degree","Aw","Dfa",609,652,267639,1.09e-26,1.17e-24,"****"
"degree","Aw","Dfb",609,650,255994,2.11e-19,1.84e-17,"****"
