".y.","clima","N"
"between","BWh",18
"between","Cwb",18
"between","BWk",17
"between","Csa",17
"between","Dfa",17
"between","Dfb",17
"between","Dwb",17
"between","BSh",16
"between","Cfa",16
"between","Csb",16
"between","Dwc",16
"between","Cfb",15
"between","EF",13
"between","Af",12
"between","Am",12
"between","Aw",12
"between","BSk",12
"between","ET",12
"between","Dfc",11
"close","Dfa",18
"close","BWh",17
"close","Cfb",17
"close","ET",17
"close","BSk",16
"close","Cfa",16
"close","Csa",16
"close","Cwb",16
"close","EF",16
"close","Dwc",15
"close","Aw",14
"close","Dwb",13
"close","BSh",12
"close","Dfc",12
"close","Af",11
"close","Am",11
"close","Csb",11
"close","Dfb",10
"close","BWk",8
"degree","EF",18
"degree","BWk",17
"degree","Csa",17
"degree","Csb",17
"degree","BWh",16
"degree","Cfa",15
"degree","Dfb",15
"degree","Dfc",15
"degree","Dwb",15
"degree","Dwc",15
"degree","Am",14
"degree","Aw",14
"degree","Cwb",14
"degree","Dfa",14
"degree","ET",14
"degree","Af",13
"degree","BSh",13
"degree","BSk",12
"degree","Cfb",12
"eigenv","BWh",16
"eigenv","BWk",16
"eigenv","Csa",16
"eigenv","Csb",13
"eigenv","Am",12
"eigenv","BSh",10
"eigenv","Cwb",10
"eigenv","Dfa",10
"eigenv","Af",9
"eigenv","Cfb",9
"eigenv","Dwb",9
"eigenv","EF",9
"eigenv","Aw",8
"eigenv","Cfa",8
"eigenv","Dwc",7
"eigenv","ET",7
"eigenv","BSk",5
"eigenv","Dfb",5
"eigenv","Dfc",5
