"variable",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"Average path length","value","Af","Am",100,100,5202,0.622,0.641,"ns"
"Average path length","value","Af","Aw",100,100,4458,0.186,0.207,"ns"
"Average path length","value","Af","BSh",100,100,345,5.72e-30,6.99e-29,"****"
"Average path length","value","Af","BSk",100,100,1990,1.93e-13,4.58e-13,"****"
"Average path length","value","Af","BWh",100,100,146,1.93e-32,5.5e-31,"****"
"Average path length","value","Af","BWk",100,100,3100,3.46e-06,5.24e-06,"****"
"Average path length","value","Af","Cfa",100,100,5468,0.253,0.277,"ns"
"Average path length","value","Af","Cfb",100,100,4805,0.635,0.65,"ns"
"Average path length","value","Af","Csa",100,100,6846,6.5e-06,9.67e-06,"****"
"Average path length","value","Af","Csb",100,100,2089,1.15e-12,2.62e-12,"****"
"Average path length","value","Af","Cwb",100,100,1132,3.39e-21,1.35e-20,"****"
"Average path length","value","Af","Dfa",100,100,7096,3.05e-07,4.92e-07,"****"
"Average path length","value","Af","Dfb",100,100,1202,1.71e-20,6.36e-20,"****"
"Average path length","value","Af","Dfc",100,100,3422,0.000116,0.00016,"***"
"Average path length","value","Af","Dwb",100,100,681,4.98e-26,3.37e-25,"****"
"Average path length","value","Af","Dwc",100,100,4700,0.464,0.492,"ns"
"Average path length","value","Af","EF",100,100,2140,2.81e-12,5.93e-12,"****"
"Average path length","value","Af","ET",100,100,2130,2.36e-12,5.04e-12,"****"
"Average path length","value","Am","Aw",100,100,4328,0.101,0.117,"ns"
"Average path length","value","Am","BSh",100,100,270,6.88e-31,1.18e-29,"****"
"Average path length","value","Am","BSk",100,100,1895,3.31e-14,8.45e-14,"****"
"Average path length","value","Am","BWh",100,100,85,3.22e-33,2.92e-31,"****"
"Average path length","value","Am","BWk",100,100,2972,7.27e-07,1.15e-06,"****"
"Average path length","value","Am","Cfa",100,100,5341,0.405,0.436,"ns"
"Average path length","value","Am","Cfb",100,100,4679,0.434,0.464,"ns"
"Average path length","value","Am","Csa",100,100,6665,4.76e-05,6.67e-05,"****"
"Average path length","value","Am","Csb",100,100,1959,1.09e-13,2.66e-13,"****"
"Average path length","value","Am","Cwb",100,100,1043,4.15e-22,1.97e-21,"****"
"Average path length","value","Am","Dfa",100,100,6920,2.73e-06,4.17e-06,"****"
"Average path length","value","Am","Dfb",100,100,1094,1.39e-21,6.42e-21,"****"
"Average path length","value","Am","Dfc",100,100,3250,1.91e-05,2.72e-05,"****"
"Average path length","value","Am","Dwb",100,100,603,6.44e-27,5.24e-26,"****"
"Average path length","value","Am","Dwc",100,100,4569,0.293,0.317,"ns"
"Average path length","value","Am","EF",100,100,2039,4.7e-13,1.1e-12,"****"
"Average path length","value","Am","ET",100,100,2048,5.53e-13,1.28e-12,"****"
"Average path length","value","Aw","BSh",100,100,345,5.72e-30,6.99e-29,"****"
"Average path length","value","Aw","BSk",100,100,2243,1.64e-11,3.34e-11,"****"
"Average path length","value","Aw","BWh",100,100,103,5.48e-33,3.12e-31,"****"
"Average path length","value","Aw","BWk",100,100,3531,0.000333,0.000445,"***"
"Average path length","value","Aw","Cfa",100,100,5899,0.028,0.033,"*"
"Average path length","value","Aw","Cfb",100,100,5286,0.485,0.509,"ns"
"Average path length","value","Aw","Csa",100,100,7114,2.42e-07,3.94e-07,"****"
"Average path length","value","Aw","Csb",100,100,2387,1.73e-10,3.36e-10,"****"
"Average path length","value","Aw","Cwb",100,100,1285,1.13e-19,3.79e-19,"****"
"Average path length","value","Aw","Dfa",100,100,7342,1.06e-08,1.83e-08,"****"
"Average path length","value","Aw","Dfb",100,100,1377,8.66e-19,2.79e-18,"****"
"Average path length","value","Aw","Dfc",100,100,3878,0.006,0.008,"**"
"Average path length","value","Aw","Dwb",100,100,747,2.74e-25,1.62e-24,"****"
"Average path length","value","Aw","Dwc",100,100,5133,0.746,0.755,"ns"
"Average path length","value","Aw","EF",100,100,2548,2.1e-09,3.9e-09,"****"
"Average path length","value","Aw","ET",100,100,2611,5.35e-09,9.34e-09,"****"
"Average path length","value","BSh","BSk",100,100,8544,4.79e-18,1.44e-17,"****"
"Average path length","value","BSh","BWh",100,100,4749,0.54,0.56,"ns"
"Average path length","value","BSh","BWk",100,100,9016,1.01e-22,5.08e-22,"****"
"Average path length","value","BSh","Cfa",100,100,9659,5.11e-30,6.99e-29,"****"
"Average path length","value","BSh","Cfb",100,100,9499,4.19e-28,4.21e-27,"****"
"Average path length","value","BSh","Csa",100,100,9793,1.13e-31,2.76e-30,"****"
"Average path length","value","BSh","Csb",100,100,8173,9.07e-15,2.39e-14,"****"
"Average path length","value","BSh","Cwb",100,100,7125,2.09e-07,3.44e-07,"****"
"Average path length","value","BSh","Dfa",100,100,9785,1.43e-31,3.06e-30,"****"
"Average path length","value","BSh","Dfb",100,100,7714,3.35e-11,6.74e-11,"****"
"Average path length","value","BSh","Dfc",100,100,9107,1.08e-23,5.77e-23,"****"
"Average path length","value","BSh","Dwb",100,100,6029,0.012,0.014,"*"
"Average path length","value","BSh","Dwc",100,100,9418,3.69e-27,3.15e-26,"****"
"Average path length","value","BSh","EF",100,100,8894,1.85e-21,7.72e-21,"****"
"Average path length","value","BSh","ET",100,100,8627,7.93e-19,2.61e-18,"****"
"Average path length","value","BSk","BWh",100,100,883,8.45e-24,4.82e-23,"****"
"Average path length","value","BSk","BWk",100,100,6229,0.003,0.003,"**"
