ClimateZone	nTaxa	Average path length	Transitivity	Modularity	Density	Run
Af	114	0.272692292358251	0.0684039087947883	0.824517179081727	0.0212699891321223	1
Am	114	0.249496715950045	0.102272727272727	0.855789876619286	0.0190964136003726	1
Aw	114	0.330887866275086	0.141025641025641	0.830172688257767	0.0180096258344978	1
BSh	114	1.35584315571437	0.0444444444444444	0.873203963007824	0.0142834963514982	1
BSk	114	0.530696019395833	0.129496402877698	0.832506449295455	0.0200279459711225	1
BWh	114	0.97964338682037	0.0810810810810811	0.897819017916932	0.0138177301661233	1
BWk	114	0.688933698999252	0.0612244897959184	0.928435531544896	0.00993634528799876	1
Cfa	114	0.232390143370841	0.264150943396226	0.805516347293558	0.0187859028101227	1
Cfb	114	0.540998840559303	0.15	0.83778485397667	0.0186306474149977	1
Csa	114	0.329537815165185	0.0555555555555556	0.908180145687757	0.00869430212699891	1
Csb	114	0.635410762580124	0.0569620253164557	0.849886680540587	0.0152150287222481	1
Cwb	114	0.372627710124994	0.0993377483443709	0.871357640535911	0.0147492625368732	1
Dfa	114	0.304611987151633	0.145328719723183	0.825117580180442	0.0187859028101227	1
Dfb	114	0.461187889365624	0.0824175824175824	0.86611838831125	0.016301816488123	1
Dfc	114	0.337062079454535	0.22992700729927	0.849373966416469	0.0187859028101227	1
Dwb	114	0.710324173058893	0.0254237288135593	0.87225110402001	0.0133519639807483	1
Dwc	114	0.284815215814394	0.124260355029586	0.84265438300963	0.0152150287222481	1
EF	114	0.569001965773689	0.132352941176471	0.857350634368091	0.0197174351808725	1
ET	114	0.396621268803485	0.141955835962145	0.801552318768995	0.0200279459711225	1
Af	114	0.42208219234562	0.175862068965517	0.858137644940408	0.0195621797857476	2
Am	114	0.306069525421805	0.0956521739130435	0.808124273674712	0.0209594783418724	2
Aw	114	0.233052594829561	0.111940298507463	0.849215079519873	0.0201832013662475	2
BSh	114	0.969926105815732	0.122093023255814	0.855893938767291	0.0164570718832479	2
BSk	114	0.466185987392428	0.162420382165605	0.8714507281726	0.0212699891321223	2
BWh	114	0.498181545062181	0.123287671232877	0.933504572136366	0.0125756870051234	2
BWk	114	0.527136606688702	0.0508474576271187	0.923897972482769	0.0100916006831237	2
Cfa	114	0.395374738271017	0.183406113537118	0.857753805582125	0.0181648812296227	2
Cfb	114	0.776936259593752	0.133064516129032	0.867920733693726	0.0186306474149977	2
Csa	114	0.227902710852498	0.166666666666667	0.932973185601216	0.00900481291724888	2
Csb	114	0.325402138486716	0.153543307086614	0.865560601358586	0.0187859028101227	2
Cwb	114	0.922842313458883	0.13953488372093	0.883935561530703	0.0135072193758733	2
Dfa	114	0.219422920037596	0.146853146853147	0.86878722365066	0.0141282409563732	2
Dfb	114	0.411272507108949	0.165829145728643	0.865201983594818	0.015836050302748	2
Dfc	114	0.251779347602664	0.161616161616162	0.83569695638024	0.0197174351808725	2
Dwb	114	0.728981535272438	0.0961538461538462	0.82496449734447	0.0147492625368732	2
Dwc	114	0.404958171890681	0.116504854368932	0.839532212410064	0.0170780934637479	2
EF	114	0.435172748907013	0.147420147420147	0.781862211205471	0.024064586244372	2
ET	114	0.422474735434295	0.176943699731904	0.862182893315201	0.0222015215028722	2
Af	114	0.283044575336767	0.102040816326531	0.784472649050358	0.0197174351808725	3
Am	114	0.380270961648907	0.115089514066496	0.805503818076023	0.0231330538736221	3
Aw	114	0.501671274659069	0.122727272727273	0.807386232887813	0.0175438596491228	3
BSh	114	0.722596783643524	0.0666666666666667	0.897114782479989	0.0150597733271231	3
BSk	114	0.42170229249012	0.142857142857143	0.839578980461154	0.0217357553174973	3
BWh	114	0.774132271700365	0.072289156626506	0.926932841654588	0.0124204316099984	3
BWk	114	0.305287328157644	0	0.940558594844694	0.00853904673187393	3
Cfa	114	0.234458675460137	0.160714285714286	0.846331762541156	0.0172333488588728	3
Cfb	114	0.226021128503403	0.144578313253012	0.837431636298293	0.0170780934637479	3
Csa	114	0.176693598935141	0	0.928165474328652	0.00853904673187393	3
Csb	114	0.403820274550645	0.156626506024096	0.82354125847443	0.0180096258344978	3
Cwb	114	0.609931107169636	0.153061224489796	0.867694997801803	0.0121099208197485	3
Dfa	114	0.307581264742873	0.128048780487805	0.86294926039927	0.0139729855612483	3
Dfb	114	0.357579727045091	0.075	0.878726150418804	0.0136624747709983	3
Dfc	114	0.399838618621606	0.162790697674419	0.846979052420102	0.0187859028101227	3
Dwb	114	0.681714810813984	0.06	0.876160641707598	0.0147492625368732	3
Dwc	114	0.254861508571926	0.195402298850575	0.817290513560405	0.0170780934637479	3
EF	114	0.315973066028709	0.175066312997348	0.846674495940053	0.0226672876882472	3
ET	114	0.603057097579346	0.156716417910448	0.860138512168423	0.0201832013662475	3
Af	114	0.299007665854456	0.189189189189189	0.812726659825568	0.0209594783418724	4
Am	114	0.351673422513925	0.0906040268456376	0.797026028361549	0.0197174351808725	4
Aw	114	0.301598494209308	0.107491856677524	0.830123638896064	0.0203384567613725	4
BSh	114	0.671028301893763	0.0573248407643312	0.86684490184407	0.0145940071417482	4
BSk	114	0.470665695736449	0.161870503597122	0.833031909962136	0.0197174351808725	4
