"Taxa","ClimateZone","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"Taxa100","Dfc","k__Bacteria","p__Verrucomicrobia","c__[Pedosphaerae]","o__[Pedosphaerales]","f__Ellin515","g__","s__"
"Taxa101","Af","k__Bacteria","p__Acidobacteria","c__Acidobacteria-5","o__","f__","g__","s__"
"Taxa101","Aw","k__Bacteria","p__Acidobacteria","c__Acidobacteria-5","o__","f__","g__","s__"
"Taxa102","Cfa","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Rhodobiaceae","g__Afifella","s__"
"Taxa102","Dfa","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Rhodobiaceae","g__Afifella","s__"
"Taxa102","Dfc","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Rhodobiaceae","g__Afifella","s__"
"Taxa103","Dfa","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","","","",""
"Taxa104","Dfc","k__Bacteria","p__Planctomycetes","c__Planctomycetia","o__Pirellulales","f__Pirellulaceae","g__","s__"
"Taxa105","Am","k__Bacteria","p__Planctomycetes","c__Planctomycetia","o__Gemmatales","f__Gemmataceae","g__Gemmata","s__"
"Taxa105","Dfc","k__Bacteria","p__Planctomycetes","c__Planctomycetia","o__Gemmatales","f__Gemmataceae","g__Gemmata","s__"
"Taxa107","BSk","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Ellin6067","f__","g__","s__"
"Taxa108","Cfb","k__Bacteria","p__Acidobacteria","c__Acidobacteriia","o__Acidobacteriales","f__Acidobacteriaceae","g__Edaphobacter","s__"
"Taxa111","Dfb","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Hyphomicrobiaceae","g__Rhodoplanes","s__"
"Taxa112","Af","k__Bacteria","p__Elusimicrobia","c__Elusimicrobia","o__IIb","f__","g__","s__"
