ClimateZone,level,from,to,x,n,n1,n2,pvalue,p.adj
Af,Kingdom,bacteria,bacteria,4188,4188,49437,0,0,0
Af,Phylum,acidobacteria,acidobacteria,137,4188,1834,47603,0.938508219,0.957718651
Af,Phylum,acidobacteria,actinobacteria,148,4188,1654,47783,0.224218088,0.33621913
Af,Phylum,acidobacteria,armatimonadetes,4,4188,77,49360,0.791398154,0.840807963
Af,Phylum,acidobacteria,bacteroidetes,95,4188,1298,48139,0.930144587,0.951505384
Af,Phylum,acidobacteria,chlorobi,4,4188,56,49381,0.519628815,0.609944146
Af,Phylum,acidobacteria,chloroflexi,50,4188,731,48706,0.940144126,0.958945639
Af,Phylum,acidobacteria,cyanobacteria,4,4188,49,49388,0.401846959,0.506289032
Af,Phylum,acidobacteria,elusimicrobia,24,4188,299,49138,0.557573854,0.643998031
Af,Phylum,acidobacteria,fbp,5,4188,22,49415,0.008376051,0.047539852
Af,Phylum,acidobacteria,fcpu426,3,4188,35,49402,0.344411029,0.45389032
Af,Phylum,acidobacteria,fibrobacteres,2,4188,19,49418,0.214304391,0.325440674
Af,Phylum,acidobacteria,firmicutes,23,4188,199,49238,0.050446074,0.131806326
Af,Phylum,acidobacteria,gemmatimonadetes,48,4188,673,48764,0.884021801,0.914350017
Af,Phylum,acidobacteria,nitrospirae,21,4188,320,49117,0.87270446,0.905139319
Af,Phylum,acidobacteria,od1,1,4188,21,49416,0.541292469,0.629204774
Af,Phylum,acidobacteria,planctomycetes,168,4188,1739,47698,0.033516639,0.103201979
Af,Phylum,acidobacteria,proteobacteria,424,4188,4768,44669,0.130357014,0.236061454
Af,Phylum,acidobacteria,spirochaetes,2,4188,17,49420,0.169818805,0.280684898
Af,Phylum,acidobacteria,unassigned,5,4188,62,49375,0.430111931,0.531171994
Af,Phylum,acidobacteria,verrucomicrobia,78,4188,1177,48260,0.989559837,0.995287694
Af,Phylum,acidobacteria,ws3,9,4188,109,49328,0.444695683,0.544335803
Af,Phylum,actinobacteria,actinobacteria,103,4188,1274,48163,0.670166093,0.73906611
Af,Phylum,actinobacteria,armatimonadetes,6,4188,54,49383,0.16999664,0.280923593
Af,Phylum,actinobacteria,bacteroidetes,52,4188,624,48813,0.513063837,0.604195637
Af,Phylum,actinobacteria,chlorobi,4,4188,28,49409,0.083315859,0.178040149
Af,Phylum,actinobacteria,chloroflexi,47,4188,628,48809,0.792738924,0.841940784
Af,Phylum,actinobacteria,cyanobacteria,5,4188,50,49387,0.246830015,0.359306053
Af,Phylum,actinobacteria,elusimicrobia,11,4188,134,49303,0.464494762,0.560796362
Af,Phylum,actinobacteria,fbp,3,4188,16,49421,0.040973821,0.115338699
Af,Phylum,actinobacteria,fibrobacteres,2,4188,7,49430,0.01638675,0.069768608
Af,Phylum,actinobacteria,firmicutes,7,4188,174,49263,0.983039244,0.991009386
Af,Phylum,actinobacteria,gemmatimonadetes,49,4188,410,49027,0.006040499,0.040177538
Af,Phylum,actinobacteria,nitrospirae,24,4188,152,49285,0.001015401,0.013581871
Af,Phylum,actinobacteria,od1,2,4188,12,49425,0.074908248,0.166446491
Af,Phylum,actinobacteria,planctomycetes,95,4188,999,48438,0.107450631,0.208485509
Af,Phylum,actinobacteria,proteobacteria,281,4188,3038,46399,0.05361223,0.135699904
Af,Phylum,actinobacteria,unassigned,3,4188,46,49391,0.554175927,0.640636823
Af,Phylum,actinobacteria,verrucomicrobia,45,4188,622,48815,0.851894005,0.88897426
Af,Phylum,actinobacteria,ws3,2,4188,43,49394,0.717457321,0.778975375
Af,Phylum,armatimonadetes,bacteroidetes,7,4188,58,49379,0.114911994,0.216187553
Af,Phylum,armatimonadetes,chlorobi,1,4188,3,49434,0.020309527,0.077293171
Af,Phylum,armatimonadetes,chloroflexi,1,4188,16,49421,0.398129788,0.503012283
Af,Phylum,armatimonadetes,elusimicrobia,7,4188,24,49413,0.00056109,0.008955916
Af,Phylum,armatimonadetes,fbp,2,4188,5,49432,0.005330069,0.037322029
Af,Phylum,armatimonadetes,firmicutes,1,4188,5,49432,0.060351909,0.146005622
Af,Phylum,armatimonadetes,gemmatimonadetes,2,4188,19,49418,0.214304391,0.325440674
Af,Phylum,armatimonadetes,od1,1,4188,2,49435,0.007174873,0.043520458
Af,Phylum,armatimonadetes,planctomycetes,7,4188,119,49318,0.799234556,0.846806602
Af,Phylum,armatimonadetes,proteobacteria,11,4188,145,49292,0.5769985,0.659848968
Af,Phylum,armatimonadetes,spirochaetes,1,4188,1,49436,0,0
Af,Phylum,armatimonadetes,unassigned,1,4188,3,49434,0.020309527,0.077293171
Af,Phylum,armatimonadetes,verrucomicrobia,4,4188,41,49396,0.264846426,0.378129999
Af,Phylum,armatimonadetes,ws3,1,4188,3,49434,0.020309527,0.077293171
Af,Phylum,bacteroidetes,bacteroidetes,37,4188,468,48969,0.632297647,0.707142086
Af,Phylum,bacteroidetes,chlorobi,5,4188,37,49400,0.088810349,0.184190315
Af,Phylum,bacteroidetes,chloroflexi,30,4188,281,49156,0.078971774,0.170947554
Af,Phylum,bacteroidetes,cyanobacteria,2,4188,32,49405,0.516773254,0.607593497
Af,Phylum,bacteroidetes,elusimicrobia,6,4188,140,49297,0.957445318,0.972356733
Af,Phylum,bacteroidetes,fbp,2,4188,19,49418,0.214304391,0.325440674
Af,Phylum,bacteroidetes,fcpu426,1,4188,27,49410,0.679469771,0.747267391
Af,Phylum,bacteroidetes,firmicutes,9,4188,75,49362,0.100689619,0.198409725
Af,Phylum,bacteroidetes,gemmatimonadetes,19,4188,306,49131,0.911172464,0.935959455
Af,Phylum,bacteroidetes,nitrospirae,10,4188,95,49342,0.17981582,0.288505745
Af,Phylum,bacteroidetes,od1,2,4188,14,49423,0.109370731,0.210685415
Af,Phylum,bacteroidetes,planctomycetes,83,4188,675,48762,0.000261485,0.004716488
Af,Phylum,bacteroidetes,proteobacteria,177,4188,2249,47188,0.843664641,0.882138973
Af,Phylum,bacteroidetes,spirochaetes,1,4188,19,49418,0.486866425,0.580881057
Af,Phylum,bacteroidetes,unassigned,5,4188,25,49412,0.015976963,0.069394774
Af,Phylum,bacteroidetes,verrucomicrobia,43,4188,575,48862,0.781476158,0.832566885
Af,Phylum,bacteroidetes,ws3,6,4188,49,49388,0.117562572,0.219220969
Af,Phylum,chlorobi,elusimicrobia,3,4188,17,49420,0.050095389,0.131757863
Af,Phylum,chlorobi,firmicutes,2,4188,2,49435,0,0
Af,Phylum,chlorobi,nitrospirae,1,4188,7,49430,0.113191709,0.213770858
Af,Phylum,chlorobi,od1,1,4188,2,49435,0.007174873,0.043520458
Af,Phylum,chlorobi,planctomycetes,10,4188,49,49388,0.002253163,0.025111023
Af,Phylum,chlorobi,proteobacteria,10,4188,79,49358,0.06899986,0.15853144
Af,Phylum,chlorobi,verrucomicrobia,3,4188,26,49411,0.173853598,0.283538723
Af,Phylum,chloroflexi,chloroflexi,12,4188,191,49246,0.830648122,0.872653951
Af,Phylum,chloroflexi,elusimicrobia,5,4188,73,49364,0.591745224,0.672451573
Af,Phylum,chloroflexi,firmicutes,5,4188,60,49377,0.399114882,0.504090192
Af,Phylum,chloroflexi,gemmatimonadetes,17,4188,192,49245,0.362223996,0.470510506
Af,Phylum,chloroflexi,nitrospirae,10,4188,84,49353,0.097212988,0.194792135
Af,Phylum,chloroflexi,planctomycetes,64,4188,535,48902,0.002171759,0.024614647
Af,Phylum,chloroflexi,proteobacteria,95,4188,1149,48288,0.572668127,0.655951688
Af,Phylum,chloroflexi,spirochaetes,1,4188,7,49430,0.113191709,0.213770858
Af,Phylum,chloroflexi,unassigned,2,4188,24,49413,0.332519366,0.442409158
Af,Phylum,chloroflexi,verrucomicrobia,27,4188,292,49145,0.273751332,0.385857881
Af,Phylum,chloroflexi,ws3,4,4188,24,49413,0.047535352,0.126457035
Af,Phylum,cyanobacteria,firmicutes,2,4188,14,49423,0.109370731,0.210685415
Af,Phylum,cyanobacteria,gemmatimonadetes,4,4188,11,49426,0.001300158,0.016740723
Af,Phylum,cyanobacteria,nitrospirae,1,4188,5,49432,0.060351909,0.146005622
Af,Phylum,cyanobacteria,planctomycetes,3,4188,59,49378,0.74725809,0.803978732
Af,Phylum,cyanobacteria,proteobacteria,13,4188,128,49309,0.195383542,0.306715378
Af,Phylum,cyanobacteria,verrucomicrobia,1,4188,35,49402,0.808767617,0.854451399
Af,Phylum,elusimicrobia,elusimicrobia,8,4188,64,49373,0.089586063,0.184533327
Af,Phylum,elusimicrobia,fbp,2,4188,5,49432,0.005330069,0.037322029
Af,Phylum,elusimicrobia,firmicutes,3,4188,16,49421,0.040973821,0.115338699
Af,Phylum,elusimicrobia,gemmatimonadetes,4,4188,51,49386,0.436207206,0.536115814
Af,Phylum,elusimicrobia,od1,5,4188,7,49430,2.39E-06,5.38E-05
Af,Phylum,elusimicrobia,planctomycetes,19,4188,206,49231,0.294963858,0.406534157
Af,Phylum,elusimicrobia,proteobacteria,33,4188,412,49025,0.589461722,0.670473025
Af,Phylum,elusimicrobia,verrucomicrobia,5,4188,108,49329,0.90348177,0.929513546
Af,Phylum,fbp,planctomycetes,2,4188,15,49422,0.128494145,0.233200477
Af,Phylum,fbp,proteobacteria,2,4188,31,49406,0.495065467,0.588275175
Af,Phylum,fbp,verrucomicrobia,1,4188,14,49423,0.335155849,0.444744044
Af,Phylum,fcpu426,firmicutes,1,4188,1,49436,0,0
Af,Phylum,fcpu426,planctomycetes,7,4188,29,49408,0.002233587,0.024925905
Af,Phylum,fcpu426,proteobacteria,5,4188,46,49391,0.191195024,0.301706653
Af,Phylum,fcpu426,verrucomicrobia,1,4188,6,49431,0.085533149,0.180692754
Af,Phylum,fcpu426,ws3,1,4188,2,49435,0.007174873,0.043520458
Af,Phylum,fibrobacteres,planctomycetes,1,4188,9,49428,0.173623799,0.283391993
Af,Phylum,fibrobacteres,proteobacteria,5,4188,44,49393,0.165387294,0.274569693
Af,Phylum,fibrobacteres,verrucomicrobia,1,4188,11,49426,0.237794634,0.350669785
Af,Phylum,firmicutes,firmicutes,3,4188,49,49388,0.605160557,0.683042372
Af,Phylum,firmicutes,gemmatimonadetes,4,4188,32,49405,0.129864103,0.235422449
Af,Phylum,firmicutes,nitrospirae,3,4188,26,49411,0.173853598,0.283538723
Af,Phylum,firmicutes,planctomycetes,10,4188,108,49329,0.306986152,0.417631632
Af,Phylum,firmicutes,proteobacteria,21,4188,296,49141,0.769120768,0.822196635
