"level","from","to","No. of climate zones","Climate zones"
"Kingdom","bacteria","bacteria",19,"Af/Am/Aw/BSh/BSk/BWh/BWk/Cfa/Cfb/Csa/Csb/Cwb/Dfa/Dfb/Dfc/Dwb/Dwc/EF/ET"
"Phylum","acidobacteria","fbp",2,"Af/BWk"
"Phylum","acidobacteria","proteobacteria",1,"Am"
"Phylum","acidobacteria","unassigned",1,"Aw"
"Phylum","acidobacteria","acidobacteria",1,"Dfa"
"Phylum","acidobacteria","planctomycetes",1,"Dfa"
"Phylum","acidobacteria","verrucomicrobia",1,"Dfa"
"Phylum","acidobacteria","bacteroidetes",1,"Dwc"
"Phylum","acidobacteria","gemmatimonadetes",1,"Dwc"
"Phylum","acidobacteria","nitrospirae",1,"Dwc"
"Phylum","acidobacteria","fibrobacteres",2,"Dwc/ET"
"Phylum","acidobacteria","actinobacteria",1,"EF"
"Phylum","acidobacteria","chloroflexi",1,"EF"
"Phylum","acidobacteria","firmicutes",1,"EF"
"Phylum","acidobacteria","elusimicrobia",1,"ET"
"Phylum","acidobacteria","spirochaetes",1,"ET"
"Phylum","actinobacteria","gemmatimonadetes",1,"Af"
"Phylum","actinobacteria","nitrospirae",2,"Af/BWk"
"Phylum","actinobacteria","fbp",2,"Am/BWh"
"Phylum","actinobacteria","spirochaetes",1,"Aw"
"Phylum","actinobacteria","planctomycetes",3,"Aw/BSk/Dwb"
"Phylum","actinobacteria","verrucomicrobia",3,"Aw/BWk/EF"
"Phylum","actinobacteria","od1",2,"Aw/ET"
"Phylum","actinobacteria","proteobacteria",3,"BSh/Csa/EF"
"Phylum","actinobacteria","fibrobacteres",1,"BSk"
"Phylum","actinobacteria","firmicutes",3,"BSk/Cfa/Csa"
"Phylum","actinobacteria","elusimicrobia",1,"BWh"
"Phylum","actinobacteria","bacteroidetes",2,"Csb/EF"
"Phylum","actinobacteria","actinobacteria",2,"Dfa/Dwc"
"Phylum","actinobacteria","fcpu426",1,"Dfc"
"Phylum","actinobacteria","armatimonadetes",1,"Dwb"
"Phylum","actinobacteria","ws3",1,"Dwb"
"Phylum","actinobacteria","unassigned",1,"Dwc"
"Phylum","actinobacteria","chlorobi",1,"EF"
"Phylum","armatimonadetes","elusimicrobia",1,"Af"
"Phylum","armatimonadetes","spirochaetes",1,"Af"
