"ClimateZone","level","from","to","N","Freq","cumsum Freq"
"Af","Kingdom","bacteria","bacteria",4188,1,1
"Af","Phylum","acidobacteria","proteobacteria",424,0.101241642788921,0.101241642788921
"Af","Phylum","proteobacteria","proteobacteria",387,0.0924068767908309,0.193648519579752
"Af","Phylum","actinobacteria","proteobacteria",281,0.0670964660936008,0.260744985673352
"Af","Phylum","planctomycetes","proteobacteria",234,0.0558739255014327,0.316618911174785
"Af","Phylum","bacteroidetes","proteobacteria",177,0.0422636103151863,0.358882521489971
"Af","Phylum","acidobacteria","planctomycetes",168,0.0401146131805158,0.398997134670487
"Af","Phylum","proteobacteria","verrucomicrobia",148,0.0353390639923591,0.434336198662846
"Af","Phylum","acidobacteria","actinobacteria",148,0.0353390639923591,0.469675262655205
"Af","Phylum","acidobacteria","acidobacteria",137,0.032712511938873,0.502387774594078
"Af","Phylum","actinobacteria","actinobacteria",103,0.0245940783190067,0.526981852913085
"Af","Phylum","actinobacteria","planctomycetes",95,0.022683858643744,0.549665711556829
"Af","Phylum","chloroflexi","proteobacteria",95,0.022683858643744,0.572349570200573
"Af","Phylum","acidobacteria","bacteroidetes",95,0.022683858643744,0.595033428844317
"Af","Phylum","planctomycetes","planctomycetes",85,0.0202960840496657,0.615329512893983
"Af","Phylum","bacteroidetes","planctomycetes",83,0.01981852913085,0.635148042024833
"Af","Phylum","planctomycetes","verrucomicrobia",80,0.0191021967526266,0.654250238777459
"Af","Phylum","acidobacteria","verrucomicrobia",78,0.0186246418338109,0.67287488061127
"Af","Phylum","gemmatimonadetes","proteobacteria",74,0.0176695319961796,0.69054441260745
"Af","Phylum","chloroflexi","planctomycetes",64,0.0152817574021012,0.705826170009551
"Af","Phylum","actinobacteria","bacteroidetes",52,0.0124164278892073,0.718242597898758
"Af","Phylum","acidobacteria","chloroflexi",50,0.0119388729703916,0.73018147086915
"Af","Phylum","actinobacteria","gemmatimonadetes",49,0.0117000955109838,0.741881566380134
"Af","Phylum","acidobacteria","gemmatimonadetes",48,0.0114613180515759,0.75334288443171
"Af","Phylum","actinobacteria","chloroflexi",47,0.0112225405921681,0.764565425023878
