"level","from","to","No of ClimateZones","ClimateZones"
"Kingdom","bacteria","bacteria",19,"Af, Am, Aw, BSh, BSk, BWh, BWk, Cfa, Cfb, Csa, Csb, Cwb, Dfa, Dfb, Dfc, Dwb, Dwc, EF, ET"
"Phylum","acidobacteria","proteobacteria",19,"Af, Am, Aw, BSh, BSk, BWh, BWk, Cfa, Cfb, Csa, Csb, Cwb, Dfa, Dfb, Dfc, Dwb, Dwc, EF, ET"
"Phylum","proteobacteria","proteobacteria",19,"Af, Am, Aw, BSh, BSk, BWh, BWk, Cfa, Cfb, Csa, Csb, Cwb, Dfa, Dfb, Dfc, Dwb, Dwc, EF, ET"
"Phylum","actinobacteria","proteobacteria",19,"Af, Am, Aw, BSh, BSk, BWh, BWk, Cfa, Cfb, Csa, Csb, Cwb, Dfa, Dfb, Dfc, Dwb, Dwc, EF, ET"
"Phylum","planctomycetes","proteobacteria",19,"Af, Am, Aw, BSh, BSk, BWh, BWk, Cfa, Cfb, Csa, Csb, Cwb, Dfa, Dfb, Dfc, Dwb, Dwc, EF, ET"
"Phylum","bacteroidetes","proteobacteria",19,"Af, Am, Aw, BSh, BSk, BWh, BWk, Cfa, Cfb, Csa, Csb, Cwb, Dfa, Dfb, Dfc, Dwb, Dwc, EF, ET"
"Phylum","acidobacteria","planctomycetes",19,"Af, Am, Aw, BSh, BSk, BWh, BWk, Cfa, Cfb, Csa, Csb, Cwb, Dfa, Dfb, Dfc, Dwb, Dwc, EF, ET"
"Phylum","proteobacteria","verrucomicrobia",19,"Af, Am, Aw, BSh, BSk, BWh, BWk, Cfa, Cfb, Csa, Csb, Cwb, Dfa, Dfb, Dfc, Dwb, Dwc, EF, ET"
"Phylum","acidobacteria","actinobacteria",19,"Af, Am, Aw, BSh, BSk, BWh, BWk, Cfa, Cfb, Csa, Csb, Cwb, Dfa, Dfb, Dfc, Dwb, Dwc, EF, ET"
"Phylum","acidobacteria","acidobacteria",19,"Af, Am, Aw, BSh, BSk, BWh, BWk, Cfa, Cfb, Csa, Csb, Cwb, Dfa, Dfb, Dfc, Dwb, Dwc, EF, ET"
"Phylum","actinobacteria","actinobacteria",19,"Af, Am, Aw, BSh, BSk, BWh, BWk, Cfa, Cfb, Csa, Csb, Cwb, Dfa, Dfb, Dfc, Dwb, Dwc, EF, ET"
"Phylum","actinobacteria","planctomycetes",19,"Af, Am, Aw, BSh, BSk, BWh, BWk, Cfa, Cfb, Csa, Csb, Cwb, Dfa, Dfb, Dfc, Dwb, Dwc, EF, ET"
"Phylum","chloroflexi","proteobacteria",19,"Af, Am, Aw, BSh, BSk, BWh, BWk, Cfa, Cfb, Csa, Csb, Cwb, Dfa, Dfb, Dfc, Dwb, Dwc, EF, ET"
"Phylum","acidobacteria","bacteroidetes",19,"Af, Am, Aw, BSh, BSk, BWh, BWk, Cfa, Cfb, Csa, Csb, Cwb, Dfa, Dfb, Dfc, Dwb, Dwc, EF, ET"
"Phylum","acidobacteria","verrucomicrobia",19,"Af, Am, Aw, BSh, BSk, BWh, BWk, Cfa, Cfb, Csa, Csb, Cwb, Dfa, Dfb, Dfc, Dwb, Dwc, EF, ET"
"Phylum","gemmatimonadetes","proteobacteria",19,"Af, Am, Aw, BSh, BSk, BWh, BWk, Cfa, Cfb, Csa, Csb, Cwb, Dfa, Dfb, Dfc, Dwb, Dwc, EF, ET"
"Phylum","actinobacteria","bacteroidetes",19,"Af, Am, Aw, BSh, BSk, BWh, BWk, Cfa, Cfb, Csa, Csb, Cwb, Dfa, Dfb, Dfc, Dwb, Dwc, EF, ET"
"Phylum","actinobacteria","chloroflexi",19,"Af, Am, Aw, BSh, BSk, BWh, BWk, Cfa, Cfb, Csa, Csb, Cwb, Dfa, Dfb, Dfc, Dwb, Dwc, EF, ET"
"Phylum","actinobacteria","verrucomicrobia",19,"Af, Am, Aw, BSh, BSk, BWh, BWk, Cfa, Cfb, Csa, Csb, Cwb, Dfa, Dfb, Dfc, Dwb, Dwc, EF, ET"
"Phylum","verrucomicrobia","verrucomicrobia",19,"Af, Am, Aw, BSh, BSk, BWh, BWk, Cfa, Cfb, Csa, Csb, Cwb, Dfa, Dfb, Dfc, Dwb, Dwc, EF, ET"
"Phylum","actinobacteria","nitrospirae",19,"Af, Am, Aw, BSh, BSk, BWh, BWk, Cfa, Cfb, Csa, Csb, Cwb, Dfa, Dfb, Dfc, Dwb, Dwc, EF, ET"
"Phylum","acidobacteria","nitrospirae",19,"Af, Am, Aw, BSh, BSk, BWh, BWk, Cfa, Cfb, Csa, Csb, Cwb, Dfa, Dfb, Dfc, Dwb, Dwc, EF, ET"
"Phylum","actinobacteria","firmicutes",19,"Af, Am, Aw, BSh, BSk, BWh, BWk, Cfa, Cfb, Csa, Csb, Cwb, Dfa, Dfb, Dfc, Dwb, Dwc, EF, ET"
"Phylum","planctomycetes","planctomycetes",18,"Af, Am, Aw, BSh, BSk, BWh, BWk, Cfa, Cfb, Csb, Cwb, Dfa, Dfb, Dfc, Dwb, Dwc, EF, ET"
"Phylum","bacteroidetes","planctomycetes",18,"Af, Am, Aw, BSh, BSk, BWh, BWk, Cfa, Cfb, Csb, Cwb, Dfa, Dfb, Dfc, Dwb, Dwc, EF, ET"
"Phylum","planctomycetes","verrucomicrobia",18,"Af, Am, Aw, BSh, BSk, BWh, BWk, Cfa, Cfb, Csb, Cwb, Dfa, Dfb, Dfc, Dwb, Dwc, EF, ET"
"Phylum","chloroflexi","planctomycetes",18,"Af, Am, Aw, BSh, BSk, BWh, Cfa, Cfb, Csa, Csb, Cwb, Dfa, Dfb, Dfc, Dwb, Dwc, EF, ET"
"Phylum","acidobacteria","chloroflexi",18,"Af, Am, Aw, BSh, BSk, BWh, BWk, Cfa, Cfb, Csb, Cwb, Dfa, Dfb, Dfc, Dwb, Dwc, EF, ET"
"Phylum","bacteroidetes","verrucomicrobia",18,"Af, Am, Aw, BSh, BSk, BWk, Cfa, Cfb, Csa, Csb, Cwb, Dfa, Dfb, Dfc, Dwb, Dwc, EF, ET"
"Phylum","bacteroidetes","bacteroidetes",18,"Af, Am, Aw, BSh, BSk, BWh, Cfa, Cfb, Csa, Csb, Cwb, Dfa, Dfb, Dfc, Dwb, Dwc, EF, ET"
