"ClimateZone","level","from","to","Negative co-occurrence links","Positive co-occurrence links"
"Af","Kingdom","bacteria","bacteria",0.198315467075038,0.801684532924962
"Af","Phylum","acidobacteria","proteobacteria",0.0222052067381317,0.0811638591117917
"Af","Phylum","proteobacteria","proteobacteria",0.0174196018376723,0.0740811638591118
"Af","Phylum","planctomycetes","proteobacteria",0.0151225114854518,0.0447932618683002
"Af","Phylum","actinobacteria","proteobacteria",0.0145482388973966,0.0537901990811639
"Af","Phylum","acidobacteria","actinobacteria",0.010145482388974,0.0283307810107198
"Af","Phylum","acidobacteria","planctomycetes",0.00784839203675345,0.0321592649310873
"Af","Phylum","proteobacteria","verrucomicrobia",0.00784839203675345,0.0283307810107198
"Af","Phylum","bacteroidetes","proteobacteria",0.00727411944869832,0.0338820826952527
"Af","Phylum","chloroflexi","proteobacteria",0.00727411944869832,0.0181852986217458
"Af","Phylum","actinobacteria","planctomycetes",0.00516845329249617,0.0181852986217458
"Af","Phylum","gemmatimonadetes","proteobacteria",0.00516845329249617,0.0141653905053599
"Af","Phylum","acidobacteria","acidobacteria",0.00401990811638591,0.0262251148545176
"Af","Phylum","actinobacteria","bacteroidetes",0.00382848392036753,0.00995405819295559
"Af","Phylum","acidobacteria","verrucomicrobia",0.00363705972434916,0.0149310872894334
"Af","Phylum","acidobacteria","bacteroidetes",0.00306278713629403,0.0181852986217458
"Af","Phylum","actinobacteria","verrucomicrobia",0.00287136294027565,0.00861408882082695
"Af","Phylum","bacteroidetes","verrucomicrobia",0.00267993874425727,0.0082312404287902
"Af","Phylum","elusimicrobia","proteobacteria",0.00267993874425727,0.00631699846860643
"Af","Phylum","acidobacteria","gemmatimonadetes",0.0024885145482389,0.00918836140888208
"Af","Phylum","actinobacteria","actinobacteria",0.0024885145482389,0.0197166921898928
"Af","Phylum","bacteroidetes","planctomycetes",0.0024885145482389,0.0158882082695253
"Af","Phylum","actinobacteria","chloroflexi",0.00229709035222052,0.00899693721286371
"Af","Phylum","acidobacteria","chloroflexi",0.00210566615620214,0.00957120980091883
