"Climate zone","No. of nodes","No. of edges","Ratio"
"Af",643,5224,8.1244167962675
"Am",556,4154,7.47122302158273
"Aw",609,4847,7.95894909688013
"BSh",425,2059,4.84470588235294
"BSk",537,3924,7.3072625698324
"BWh",152,222,1.46052631578947
"BWk",161,237,1.47204968944099
"Cfa",653,5317,8.14241960183767
"Cfb",653,5406,8.27871362940276
"Csa",199,329,1.65326633165829
"Csb",645,5494,8.51782945736434
"Cwb",434,2039,4.69815668202765
"Dfa",652,5137,7.87883435582822
"Dfb",650,5267,8.10307692307692
"Dfc",636,4713,7.41037735849057
"Dwb",608,4320,7.10526315789474
"Dwc",640,4679,7.3109375
"EF",348,1759,5.05459770114943
"ET",536,3733,6.96455223880597
