"No. of Samples","No. of ESVs","Freq of Samples","Freq. of ESVs","cumsumFreq ESVs"
1,21709,0.000234,0.127653,0.127653
2,12030,0.000467,0.070738,0.198391
3,9242,0.000701,0.054345,0.252736
4,7916,0.000935,0.046547,0.299283
5,6717,0.001168,0.039497,0.33878
6,6415,0.001402,0.037721,0.376501
7,5794,0.001636,0.03407,0.410571
8,5286,0.00187,0.031083,0.441654
9,5024,0.002103,0.029542,0.471196
10,4504,0.002337,0.026484,0.49768
11,4187,0.002571,0.02462,0.5223
12,3839,0.002804,0.022574,0.544874
13,3374,0.003038,0.01984,0.564714
14,3162,0.003272,0.018593,0.583307
15,2824,0.003505,0.016606,0.599913
16,2507,0.003739,0.014742,0.614655
17,2385,0.003973,0.014024,0.628679
18,2067,0.004207,0.012154,0.640833
19,1920,0.00444,0.01129,0.652123
20,1805,0.004674,0.010614,0.662737
21,1701,0.004908,0.010002,0.672739
22,1540,0.005141,0.009055,0.681794
23,1409,0.005375,0.008285,0.690079
24,1418,0.005609,0.008338,0.698417
25,1335,0.005842,0.00785,0.706267
26,1233,0.006076,0.00725,0.713517
27,1167,0.00631,0.006862,0.720379
28,1081,0.006544,0.006356,0.726735
29,1043,0.006777,0.006133,0.732868
30,931,0.007011,0.005474,0.738342
31,905,0.007245,0.005322,0.743664
32,819,0.007478,0.004816,0.74848
33,863,0.007712,0.005075,0.753555
34,793,0.007946,0.004663,0.758218
35,802,0.008179,0.004716,0.762934
36,746,0.008413,0.004387,0.767321
37,723,0.008647,0.004251,0.771572
38,658,0.008881,0.003869,0.775441
39,694,0.009114,0.004081,0.779522
40,610,0.009348,0.003587,0.783109
41,614,0.009582,0.00361,0.786719
42,579,0.009815,0.003405,0.790124
43,563,0.010049,0.003311,0.793435
44,554,0.010283,0.003258,0.796693
45,523,0.010516,0.003075,0.799768
46,525,0.01075,0.003087,0.802855
47,492,0.010984,0.002893,0.805748
48,495,0.011218,0.002911,0.808659
49,434,0.011451,0.002552,0.811211
50,432,0.011685,0.00254,0.813751
51,430,0.011919,0.002528,0.816279
52,408,0.012152,0.002399,0.818678
53,436,0.012386,0.002564,0.821242
54,399,0.01262,0.002346,0.823588
55,406,0.012853,0.002387,0.825975
56,346,0.013087,0.002035,0.82801
57,365,0.013321,0.002146,0.830156
58,379,0.013555,0.002229,0.832385
59,339,0.013788,0.001993,0.834378
60,330,0.014022,0.00194,0.836318
61,307,0.014256,0.001805,0.838123
62,316,0.014489,0.001858,0.839981
63,297,0.014723,0.001746,0.841727
64,305,0.014957,0.001793,0.84352
65,327,0.01519,0.001923,0.845443
66,283,0.015424,0.001664,0.847107
67,302,0.015658,0.001776,0.848883
68,268,0.015892,0.001576,0.850459
69,242,0.016125,0.001423,0.851882
70,271,0.016359,0.001594,0.853476
71,256,0.016593,0.001505,0.854981
72,242,0.016826,0.001423,0.856404
73,225,0.01706,0.001323,0.857727
74,285,0.017294,0.001676,0.859403
75,217,0.017527,0.001276,0.860679
76,251,0.017761,0.001476,0.862155
77,222,0.017995,0.001305,0.86346
78,227,0.018229,0.001335,0.864795
79,210,0.018462,0.001235,0.86603
80,212,0.018696,0.001247,0.867277
81,218,0.01893,0.001282,0.868559
82,178,0.019163,0.001047,0.869606
83,223,0.019397,0.001311,0.870917
84,192,0.019631,0.001129,0.872046
85,204,0.019864,0.0012,0.873246
86,209,0.020098,0.001229,0.874475
87,211,0.020332,0.001241,0.875716
88,192,0.020566,0.001129,0.876845
89,187,0.020799,0.0011,0.877945
90,169,0.021033,0.000994,0.878939
91,171,0.021267,0.001006,0.879945
92,167,0.0215,0.000982,0.880927
93,177,0.021734,0.001041,0.881968
94,173,0.021968,0.001017,0.882985
95,143,0.022201,0.000841,0.883826
96,165,0.022435,0.00097,0.884796
97,158,0.022669,0.000929,0.885725
98,157,0.022903,0.000923,0.886648
99,144,0.023136,0.000847,0.887495
100,173,0.02337,0.001017,0.888512
101,141,0.023604,0.000829,0.889341
102,157,0.023837,0.000923,0.890264
103,150,0.024071,0.000882,0.891146
104,137,0.024305,0.000806,0.891952
105,142,0.024538,0.000835,0.892787
106,145,0.024772,0.000853,0.89364
107,123,0.025006,0.000723,0.894363
108,133,0.02524,0.000782,0.895145
109,126,0.025473,0.000741,0.895886
110,131,0.025707,0.00077,0.896656
111,126,0.025941,0.000741,0.897397
112,108,0.026174,0.000635,0.898032
113,132,0.026408,0.000776,0.898808
114,148,0.026642,0.00087,0.899678
115,113,0.026875,0.000664,0.900342
116,133,0.027109,0.000782,0.901124
