"ClimateZone","Group","No of Samples","No of ESVs","Ratio"
"ET","Polar",8,342,42.75
"EF","Polar",9,432,48
"BSk","Arid",6,324,54
"Cfa","Temperate",20,1565,78.25
"Dfc","Cold (continental)",14,1113,79.5
"Af","Tropical",13,1168,89.8461538461539
"Cfb","Temperate",16,1544,96.5
"Csa","Temperate",3,398,132.666666666667
"Csb","Temperate",8,1157,144.625
"Am","Tropical",6,948,158
"Dwc","Cold (continental)",4,780,195
"Dfb","Cold (continental)",7,1454,207.714285714286
"Dwb","Cold (continental)",3,688,229.333333333333
"Dfa","Cold (continental)",5,1239,247.8
"Aw","Tropical",3,748,249.333333333333
