".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"degree","Af","Am",1168,948,470839,3.15e-09,7.24e-08,"****"
"degree","Af","Aw",1168,748,275697.5,2.34e-42,1.38e-40,"****"
"degree","Af","BSk",1168,324,70875.5,1.19e-66,9.88e-65,"****"
"degree","Af","Cfa",1168,1565,1102216,2.84e-20,9.94e-19,"****"
"degree","Af","Cfb",1168,1544,1050989,1.43e-13,3.72e-12,"****"
"degree","Af","Csa",1168,398,95378,2.9e-69,2.46e-67,"****"
"degree","Af","Csb",1168,1157,610822.5,6.13e-05,0.001,"**"
"degree","Af","Dfa",1168,1239,671190,0.002,0.032,"*"
"degree","Af","Dfb",1168,1454,986576,9.79e-13,2.45e-11,"****"
"degree","Af","Dfc",1168,1113,586273.5,5.07e-05,0.000963,"***"
"degree","Af","Dwb",1168,688,201081,2e-72,1.72e-70,"****"
"degree","Af","Dwc",1168,780,320767,1.61e-28,6.76e-27,"****"
"degree","Af","EF",1168,432,114738,4.44e-63,3.51e-61,"****"
"degree","Af","ET",1168,342,83621.5,3.07e-60,2.36e-58,"****"
"degree","Am","Aw",948,748,274859.5,1.75e-15,5.25e-14,"****"
"degree","Am","BSk",948,324,68287,1.77e-50,1.13e-48,"****"
"degree","Am","Cfa",948,1565,984483,4.15e-43,2.53e-41,"****"
"degree","Am","Cfb",948,1544,947407.5,4.25e-35,2.25e-33,"****"
"degree","Am","Csa",948,398,94339,1.36e-47,8.57e-46,"****"
"degree","Am","Csb",948,1157,584729,0.009,0.106,"ns"
"degree","Am","Dfa",948,1239,639743,0.000338,0.005,"**"
"degree","Am","Dfb",948,1454,888724.5,3.16e-33,1.64e-31,"****"
"degree","Am","Dfc",948,1113,559457.5,0.018,0.196,"ns"
"degree","Am","Dwb",948,688,204398,4.3e-38,2.36e-36,"****"
"degree","Am","Dwc",948,780,315521,1.51e-07,3.17e-06,"****"
"degree","Am","EF",948,432,112137.5,1.73e-41,1e-39,"****"
"degree","Am","ET",948,342,79025.5,6.01e-45,3.73e-43,"****"
"degree","Aw","BSk",748,324,68826.5,2.44e-29,1.1e-27,"****"
"degree","Aw","Cfa",748,1565,892922,3.66e-93,3.66e-91,"****"
"degree","Aw","Cfb",748,1544,866400,2.89e-84,2.72e-82,"****"
"degree","Aw","Csa",748,398,96783,1.66e-22,5.98e-21,"****"
"degree","Aw","Csb",748,1157,561153,6.32e-28,2.59e-26,"****"
"degree","Aw","Dfa",748,1239,611592,5.7e-33,2.91e-31,"****"
"degree","Aw","Dfb",748,1454,812620.5,1.06e-80,9.65e-79,"****"
"degree","Aw","Dfc",748,1113,536365.5,4.23e-26,1.65e-24,"****"
"degree","Aw","Dwb",748,688,214298,4.27e-08,9.39e-07,"****"
"degree","Aw","Dwc",748,780,314774.5,0.007,0.099,"ns"
"degree","Aw","EF",748,432,113147,8.99e-18,2.88e-16,"****"
"degree","Aw","ET",748,342,78723,2.01e-24,7.64e-23,"****"
"degree","BSk","Cfa",324,1565,430686,1.86e-87,1.8e-85,"****"
"degree","BSk","Cfb",324,1544,421198,1.13e-83,1.05e-81,"****"
"degree","BSk","Csa",324,398,71983.5,0.007,0.099,"ns"
"degree","BSk","Csb",324,1157,297938.5,2.6e-59,1.95e-57,"****"
"degree","BSk","Dfa",324,1239,321290,2.2e-62,1.72e-60,"****"
"degree","BSk","Dfb",324,1454,396096,2.99e-82,2.75e-80,"****"
"degree","BSk","Dfc",324,1113,286081,2.97e-58,2.2e-56,"****"
"degree","BSk","Dwb",324,688,149074,4.25e-18,1.4e-16,"****"
"degree","BSk","Dwc",324,780,186101,3.19e-35,1.72e-33,"****"
"degree","BSk","EF",324,432,81355,0.00013,0.002,"**"
"degree","BSk","ET",324,342,59272,0.119,0.833,"ns"
"degree","Cfa","Cfb",1565,1544,1148997.5,0.018,0.196,"ns"
"degree","Cfa","Csa",1565,398,99398.5,6.47e-98,6.6e-96,"****"
"degree","Cfa","Csb",1565,1157,627986.5,1.27e-42,7.62e-41,"****"
"degree","Cfa","Dfa",1565,1239,691999.5,7.7e-39,4.31e-37,"****"
"degree","Cfa","Dfb",1565,1454,1081873,0.02,0.196,"ns"
"degree","Cfa","Dfc",1565,1113,609157.5,3.26e-40,1.86e-38,"****"
"degree","Cfa","Dwb",1565,688,206427.5,1.72e-120,1.81e-118,"****"
"degree","Cfa","Dwc",1565,780,325269.5,4.84e-76,4.31e-74,"****"
"degree","Cfa","EF",1565,432,122336,6.88e-92,6.81e-90,"****"
"degree","Cfa","ET",1565,342,94104.5,6.42e-79,5.78e-77,"****"
"degree","Cfb","Csa",1544,398,102543,1.35e-93,1.36e-91,"****"
"degree","Cfb","Csb",1544,1157,653798.5,7.6e-33,3.8e-31,"****"
"degree","Cfb","Dfa",1544,1239,720471.5,3.89e-29,1.67e-27,"****"
"degree","Cfb","Dfb",1544,1454,1120359.5,0.928,1,"ns"
"degree","Cfb","Dfc",1544,1113,632175,2.64e-31,1.29e-29,"****"
"degree","Cfb","Dwb",1544,688,213113,2.77e-113,2.88e-111,"****"
"degree","Cfb","Dwc",1544,780,338702.5,1.17e-66,9.83e-65,"****"
"degree","Cfb","EF",1544,432,125960.5,3.07e-87,2.95e-85,"****"
"degree","Cfb","ET",1544,342,96085,7.58e-76,6.67e-74,"****"
"degree","Csa","Csb",398,1157,356174.5,1.03e-59,7.83e-58,"****"
"degree","Csa","Dfa",398,1239,384615.5,1.55e-63,1.24e-61,"****"
"degree","Csa","Dfb",398,1454,481132.5,1.63e-91,1.6e-89,"****"
"degree","Csa","Dfc",398,1113,341336,6.5e-58,4.75e-56,"****"
"degree","Csa","Dwb",398,688,168710.5,1.72e-10,4.13e-09,"****"
"degree","Csa","Dwc",398,780,217363,2.26e-29,1.04e-27,"****"
"degree","Csa","EF",398,432,90043.5,0.238,1,"ns"
"degree","Csa","ET",398,342,64788.5,0.26,1,"ns"
"degree","Csb","Dfa",1157,1239,735199.5,0.276,1,"ns"
"degree","Csb","Dfb",1157,1454,1061458,1.13e-30,5.42e-29,"****"
