".y.","clima","N"
"between","BSk",11
"between","Csa",11
"between","EF",11
"between","ET",11
"between","Aw",9
"between","Dwb",9
"between","Dwc",9
"between","Cfa",8
"between","Cfb",8
"between","Af",7
"between","Dfa",7
"between","Dfb",7
"between","Am",6
"between","Csb",4
"between","Dfc",4
"close","Af",14
"close","Cfa",14
"close","Dfa",14
"close","Dwb",14
"close","Aw",13
"close","Cfb",13
"close","Dfb",13
"close","Dwc",13
"close","Am",12
"close","Csa",12
"close","Csb",12
"close","Dfc",12
"close","EF",12
"close","BSk",11
"close","ET",11
"degree","Af",14
"degree","Dwb",14
"degree","Aw",13
"degree","Dwc",13
"degree","Am",12
"degree","BSk",12
"degree","Cfa",12
"degree","Cfb",12
"degree","Dfa",12
"degree","Dfb",12
"degree","EF",12
"degree","Csa",11
"degree","Csb",11
"degree","Dfc",11
"degree","ET",11
"eigenv","Cfa",14
"eigenv","Dfa",14
"eigenv","Af",13
"eigenv","Csa",13
"eigenv","Dfb",13
"eigenv","EF",13
"eigenv","Am",12
"eigenv","Aw",12
"eigenv","Cfb",12
"eigenv","Csb",12
"eigenv","Dfc",12
"eigenv","BSk",11
"eigenv","Dwc",11
"eigenv","Dwb",10
"eigenv","ET",10
