"Cluster","level","name","N","Freq"
"1","Kingdom","Bacteria",157,1
"1","Phylum","Proteobacteria",54,0.3439
"1","Phylum","Acidobacteria",23,0.1465
"1","Phylum","Planctomycetes",17,0.1083
"1","Phylum","Verrucomicrobia",15,0.0955
"1","Phylum","Bacteroidetes",12,0.0764
"1","Phylum","Actinobacteria",9,0.0573
"1","Phylum","Gemmatimonadetes",7,0.0446
"1","Phylum","Chloroflexi",4,0.0255
"1","Phylum","Elusimicrobia",3,0.0191
"1","Phylum","Armatimonadetes",3,0.0191
"1","Phylum","Cyanobacteria",3,0.0191
"1","Phylum","WS3",2,0.0127
"1","Phylum","Nitrospirae",2,0.0127
"1","Phylum","Fibrobacteres",1,0.0064
"1","Phylum","Firmicutes",1,0.0064
"1","Phylum","unassigned",1,0.0064
"1","Class","Alphaproteobacteria",22,0.1401
"1","Class","Deltaproteobacteria",13,0.0828
"1","Class","Betaproteobacteria",13,0.0828
"1","Class","Planctomycetia",12,0.0764
"1","Class","unassigned",7,0.0446
"1","Class","Gammaproteobacteria",6,0.0382
"1","Class","Pedosphaerae",6,0.0382
"1","Class","Saprospirae",6,0.0382
"1","Class","Gemmatimonadetes",5,0.0318
"1","Class","Phycisphaerae",5,0.0318
"1","Class","Solibacteres",5,0.0318
"1","Class","Acidobacteria-6",5,0.0318
"1","Class","Chloracidobacteria",4,0.0255
"1","Class","Acidimicrobiia",4,0.0255
"1","Class","Spartobacteria",3,0.0191
"1","Class","Opitutae",3,0.0191
"1","Class","Thermoleophilia",3,0.0191
"1","Class","Elusimicrobia",3,0.0191
"1","Class","Fimbriimonadia",3,0.0191
"1","Class","Chloroplast",3,0.0191
"1","Class","Acidobacteriia",3,0.0191
"1","Class","RB25",2,0.0127
"1","Class","Cytophagia",2,0.0127
"1","Class","Verrucomicrobiae",2,0.0127
"1","Class","PRR-12",2,0.0127
"1","Class","Actinobacteria",2,0.0127
"1","Class","Gemm-1",2,0.0127
"1","Class","Anaerolineae",2,0.0127
"1","Class","Nitrospira",2,0.0127
"1","Class","Fibrobacteria",1,0.0064
"1","Class","Bacilli",1,0.0064
"1","Class","DA052",1,0.0064
"1","Class","Acidobacteria-5",1,0.0064
"1","Class","Flavobacteriia",1,0.0064
"1","Class","PAUC37f",1,0.0064
"1","Class","Sphingobacteriia",1,0.0064
"1","Order","unassigned",28,0.1783
"1","Order","Rhizobiales",11,0.0701
"1","Order","Gemmatales",6,0.0382
"1","Order","Pedosphaerales",6,0.0382
"1","Order","Saprospirales",6,0.0382
"1","Order","Solibacterales",5,0.0318
"1","Order","Rhodospirillales",4,0.0255
"1","Order","Burkholderiales",4,0.0255
"1","Order","Acidimicrobiales",4,0.0255
"1","Order","Myxococcales",4,0.0255
"1","Order","Syntrophobacterales",3,0.0191
"1","Order","Planctomycetales",3,0.0191
"1","Order","RB41",3,0.0191
"1","Order","Chthoniobacterales",3,0.0191
"1","Order","Opitutales",3,0.0191
"1","Order","Fimbriimonadales",3,0.0191
"1","Order","Pirellulales",3,0.0191
"1","Order","Stramenopiles",3,0.0191
"1","Order","Acidobacteriales",3,0.0191
"1","Order","CCU21",3,0.0191
"1","Order","HTCC2188",2,0.0127
"1","Order","MND1",2,0.0127
"1","Order","Cytophagales",2,0.0127
"1","Order","Verrucomicrobiales",2,0.0127
"1","Order","WD2101",2,0.0127
"1","Order","SC-I-84",2,0.0127
"1","Order","Actinomycetales",2,0.0127
"1","Order","Gaiellales",2,0.0127
"1","Order","NB1-j",2,0.0127
"1","Order","Nitrospirales",2,0.0127
"1","Order","Xanthomonadales",2,0.0127
"1","Order","Gemmatimonadales",2,0.0127
"1","Order","Caulobacterales",2,0.0127
"1","Order","258ds10",1,0.0064
"1","Order","Ellin6067",1,0.0064
"1","Order","Sediment-1",1,0.0064
"1","Order","Legionellales",1,0.0064
"1","Order","Elusimicrobiales",1,0.0064
"1","Order","Bacillales",1,0.0064
"1","Order","Ellin6513",1,0.0064
"1","Order","PK29",1,0.0064
"1","Order","H39",1,0.0064
"1","Order","Pla1",1,0.0064
"1","Order","A21b",1,0.0064
"1","Order","LD1-PA13",1,0.0064
"1","Order","Flavobacteriales",1,0.0064
"1","Order","iii1-15",1,0.0064
"1","Order","CCM11a",1,0.0064
"1","Order","Sphingobacteriales",1,0.0064
"1","Order","Rhodocyclales",1,0.0064
"1","Order","Ellin5290",1,0.0064
"1","Order","Ellin329",1,0.0064
"1","Order","FAC88",1,0.0064
"1","Order","IIb",1,0.0064
"1","Order","Solirubrobacterales",1,0.0064
"1","Order","Rhodobacterales",1,0.0064
"1","Family","unassigned",75,0.4777
"1","Family","Hyphomicrobiaceae",6,0.0382
"1","Family","Gemmataceae",5,0.0318
"1","Family","Chitinophagaceae",4,0.0255
"1","Family","Syntrophobacteraceae",3,0.0191
"1","Family","Planctomycetaceae",3,0.0191
"1","Family","Rhodospirillaceae",3,0.0191
"1","Family","Chthoniobacteraceae",3,0.0191
"1","Family","Comamonadaceae",3,0.0191
"1","Family","Opitutaceae",3,0.0191
"1","Family","auto67_4W",3,0.0191
"1","Family","Fimbriimonadaceae",3,0.0191
"1","Family","Pirellulaceae",3,0.0191
"1","Family","Ellin6075",2,0.0127
"1","Family","HTCC2089",2,0.0127
"1","Family","Cytophagaceae",2,0.0127
"1","Family","Verrucomicrobiaceae",2,0.0127
"1","Family","Nitrospiraceae",2,0.0127
"1","Family","Ellin5301",2,0.0127
"1","Family","Koribacteraceae",2,0.0127
"1","Family","Solibacteraceae",2,0.0127
"1","Family","C111",2,0.0127
"1","Family","Caulobacteraceae",2,0.0127
"1","Family","Isosphaeraceae",1,0.0064
"1","Family","Haliangiaceae",1,0.0064
"1","Family","PRR-10",1,0.0064
"1","Family","Gaiellaceae",1,0.0064
"1","Family","Coxiellaceae",1,0.0064
"1","Family","R4-41B",1,0.0064
"1","Family","Paenibacillaceae",1,0.0064
"1","Family","Ellin517",1,0.0064
"1","Family","MND4",1,0.0064
