"ClimateZone","1","2","3","4","5","6","7","8"
"Af",0.0932,0.0819,0.1158,0.0902,0.0549,0.0724,0.1057,0.0822
"Am",0.0622,0.0413,0.1045,0.069,0.0486,0.0837,0.0487,0.0822
"Aw",0.0443,0.0203,0.0732,0.0563,0.0384,0.0868,0.0292,0.0753
"BSk",0.0101,0.0087,0.0092,0.0255,0.0608,0.0273,0.0097,0.0137
"Cfa",0.1166,0.1018,0.1174,0.1072,0.1085,0.1241,0.1057,0.0822
"Cfb",0.1189,0.1014,0.1134,0.1083,0.1043,0.1241,0.1001,0.0822
"Csa",0.0171,0.0127,0.0161,0.0414,0.0481,0.0411,0.0181,0.0274
"Csb",0.0785,0.1105,0.0772,0.0934,0.0866,0.0627,0.0751,0.0822
"Dfa",0.108,0.0674,0.0784,0.0977,0.0899,0.1085,0.0779,0.0822
"Dfb",0.1134,0.1097,0.0917,0.0998,0.0992,0.1169,0.0876,0.0822
"Dfc",0.1057,0.1123,0.0607,0.0573,0.0752,0.0589,0.1168,0.0822
"Dwb",0.0412,0.1061,0.0647,0.0244,0.0198,0.0188,0.0542,0.0822
"Dwc",0.0544,0.0449,0.0466,0.0966,0.076,0.053,0.0264,0.0753
"EF",0.0179,0.0293,0.0129,0.0255,0.0769,0.0154,0.0473,0.0479
"ET",0.0186,0.0518,0.0181,0.0074,0.0127,0.0063,0.0974,0.0205
