"ClimateZone","Cluster","level","name","N","Freq"
"Af","1","Kingdom","Bacteria",592,1
"Af","1","Phylum","Proteobacteria",176,0.2973
"Af","1","Phylum","Actinobacteria",104,0.1757
"Af","1","Phylum","Acidobacteria",81,0.1368
"Af","1","Phylum","Planctomycetes",61,0.103
"Af","1","Phylum","Bacteroidetes",53,0.0895
"Af","1","Phylum","Chloroflexi",32,0.0541
"Af","1","Phylum","Verrucomicrobia",28,0.0473
"Af","1","Phylum","Gemmatimonadetes",14,0.0236
"Af","1","Phylum","Firmicutes",14,0.0236
"Af","1","Phylum","Nitrospirae",7,0.0118
"Af","1","Phylum","Elusimicrobia",6,0.0101
"Af","1","Phylum","unassigned",4,0.0068
"Af","1","Phylum","Armatimonadetes",4,0.0068
"Af","1","Phylum","FBP",3,0.0051
"Af","1","Phylum","Chlorobi",3,0.0051
"Af","1","Phylum","WS3",1,0.0017
"Af","1","Phylum","Cyanobacteria",1,0.0017
"Af","1","Class","Alphaproteobacteria",67,0.1132
"Af","1","Class","Deltaproteobacteria",61,0.103
"Af","1","Class","Actinobacteria",53,0.0895
"Af","1","Class","Planctomycetia",35,0.0591
"Af","1","Class","Chloracidobacteria",30,0.0507
"Af","1","Class","Acidobacteria-6",28,0.0473
"Af","1","Class","Thermoleophilia",24,0.0405
"Af","1","Class","Betaproteobacteria",21,0.0355
"Af","1","Class","unassigned",20,0.0338
"Af","1","Class","Gammaproteobacteria",20,0.0338
"Af","1","Class","Saprospirae",18,0.0304
"Af","1","Class","Phycisphaerae",16,0.027
"Af","1","Class","Acidimicrobiia",15,0.0253
"Af","1","Class","Cytophagia",15,0.0253
"Af","1","Class","Pedosphaerae",12,0.0203
"Af","1","Class","Sphingobacteriia",11,0.0186
"Af","1","Class","Bacilli",11,0.0186
"Af","1","Class","TK10",9,0.0152
"Af","1","Class","Spartobacteria",8,0.0135
"Af","1","Class","Rubrobacteria",8,0.0135
"Af","1","Class","Nitrospira",7,0.0118
"Af","1","Class","Gemmatimonadetes",7,0.0118
"Af","1","Class","iii1-8",6,0.0101
"Af","1","Class","Elusimicrobia",6,0.0101
"Af","1","Class","Solibacteres",5,0.0084
"Af","1","Class","Ellin6529",5,0.0084
"Af","1","Class","Opitutae",5,0.0084
"Af","1","Class","Anaerolineae",4,0.0068
"Af","1","Class","Flavobacteriia",4,0.0068
"Af","1","Class","vadinHA49",4,0.0068
"Af","1","Class","Gemm-1",4,0.0068
"Af","1","Class","Acidobacteria-5",4,0.0068
"Af","1","Class","Gitt-GS-136",3,0.0051
"Af","1","Class","Chloroflexi",3,0.0051
"Af","1","Class","MB-A2-108",3,0.0051
"Af","1","Class","Thermomicrobia",3,0.0051
"Af","1","Class","Sva0725",3,0.0051
"Af","1","Class","Verrucomicrobiae",3,0.0051
"Af","1","Class","OM190",3,0.0051
"Af","1","Class","Clostridia",3,0.0051
"Af","1","Class","S085",3,0.0051
"Af","1","Class","Fimbriimonadia",3,0.0051
"Af","1","Class","SJA-28",2,0.0034
"Af","1","Class","Gemm-2",2,0.0034
"Af","1","Class","S035",2,0.0034
"Af","1","Class","PAUC37f",1,0.0017
"Af","1","Class","Gemm-3",1,0.0017
"Af","1","Class","Pla3",1,0.0017
"Af","1","Class","Acidobacteriia",1,0.0017
"Af","1","Class","C6",1,0.0017
"Af","1","Class","PRR-12",1,0.0017
"Af","1","Class","BPC102",1,0.0017
"Af","1","Class","Zetaproteobacteria",1,0.0017
"Af","1","Class","C0119",1,0.0017
"Af","1","Class","0319-6E2",1,0.0017
"Af","1","Class","P2-11E",1,0.0017
"Af","1","Class","Chloroplast",1,0.0017
"Af","1","Class","028H05-P-BN-P5",1,0.0017
"Af","1","Order","unassigned",70,0.1182
"Af","1","Order","Actinomycetales",49,0.0828
"Af","1","Order","Myxococcales",35,0.0591
"Af","1","Order","Rhizobiales",31,0.0524
"Af","1","Order","RB41",23,0.0389
"Af","1","Order","iii1-15",22,0.0372
"Af","1","Order","Solirubrobacterales",18,0.0304
"Af","1","Order","Saprospirales",18,0.0304
"Af","1","Order","Pirellulales",18,0.0304
"Af","1","Order","Rhodospirillales",17,0.0287
"Af","1","Order","WD2101",16,0.027
"Af","1","Order","Acidimicrobiales",15,0.0253
"Af","1","Order","Cytophagales",15,0.0253
"Af","1","Order","Pedosphaerales",12,0.0203
"Af","1","Order","Sphingomonadales",12,0.0203
"Af","1","Order","Sphingobacteriales",11,0.0186
"Af","1","Order","Xanthomonadales",11,0.0186
"Af","1","Order","Gemmatales",10,0.0169
"Af","1","Order","Bacillales",10,0.0169
"Af","1","Order","Chthoniobacterales",8,0.0135
"Af","1","Order","Burkholderiales",8,0.0135
"Af","1","Order","Rubrobacterales",8,0.0135
"Af","1","Order","Nitrospirales",7,0.0118
"Af","1","Order","DS-18",6,0.0101
"Af","1","Order","Planctomycetales",6,0.0101
"Af","1","Order","AKYG885",6,0.0101
"Af","1","Order","MIZ46",5,0.0084
"Af","1","Order","Solibacterales",5,0.0084
"Af","1","Order","Bdellovibrionales",5,0.0084
"Af","1","Order","Gaiellales",5,0.0084
"Af","1","Order","Pseudomonadales",5,0.0084
"Af","1","Order","IIb",5,0.0084
"Af","1","Order","Opitutales",5,0.0084
"Af","1","Order","Entotheonellales",4,0.0068
"Af","1","Order","MND1",4,0.0068
"Af","1","Order","Flavobacteriales",4,0.0068
"Af","1","Order","DH61",4,0.0068
"Af","1","Order","Gemmatimonadales",4,0.0068
"Af","1","Order","CCU21",4,0.0068
"Af","1","Order","PK29",4,0.0068
"Af","1","Order","Syntrophobacterales",4,0.0068
"Af","1","Order","Micrococcales",4,0.0068
"Af","1","Order","Roseiflexales",3,0.0051
"Af","1","Order","Enterobacteriales",3,0.0051
