"variable",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"Average path length","value","Af","Am",100,100,7026,7.46e-07,8.7e-07,"****"
"Average path length","value","Af","Aw",100,100,9925,2.4e-33,4.34e-33,"****"
"Average path length","value","Af","BSk",100,100,10000,2.56e-34,6.35e-34,"****"
"Average path length","value","Af","Cfa",100,100,947,4.09e-23,5.58e-23,"****"
"Average path length","value","Af","Cfb",100,100,1593,8.55e-17,1.06e-16,"****"
"Average path length","value","Af","Csa",100,100,10000,2.56e-34,6.35e-34,"****"
"Average path length","value","Af","Csb",100,100,7082,3.66e-07,4.32e-07,"****"
"Average path length","value","Af","Dfa",100,100,6341,0.001,0.001,"**"
"Average path length","value","Af","Dfb",100,100,1333,3.29e-19,4.16e-19,"****"
"Average path length","value","Af","Dfc",100,100,7086,3.47e-07,4.14e-07,"****"
"Average path length","value","Af","Dwb",100,100,9998,2.72e-34,6.35e-34,"****"
"Average path length","value","Af","Dwc",100,100,9630,1.15e-29,1.95e-29,"****"
"Average path length","value","Af","EF",100,100,10000,2.56e-34,6.35e-34,"****"
"Average path length","value","Af","ET",100,100,10000,2.56e-34,6.35e-34,"****"
"Average path length","value","Am","Aw",100,100,9437,2.22e-27,3.43e-27,"****"
"Average path length","value","Am","BSk",100,100,10000,2.56e-34,6.35e-34,"****"
"Average path length","value","Am","Cfa",100,100,327,3.45e-30,6.14e-30,"****"
"Average path length","value","Am","Cfb",100,100,678,4.61e-26,6.82e-26,"****"
"Average path length","value","Am","Csa",100,100,10000,2.56e-34,6.35e-34,"****"
"Average path length","value","Am","Csb",100,100,5240,0.558,0.574,"ns"
"Average path length","value","Am","Dfa",100,100,4462,0.189,0.196,"ns"
"Average path length","value","Am","Dfb",100,100,485,2.72e-28,4.46e-28,"****"
"Average path length","value","Am","Dfc",100,100,5166,0.686,0.693,"ns"
"Average path length","value","Am","Dwb",100,100,9951,1.11e-33,2.16e-33,"****"
"Average path length","value","Am","Dwc",100,100,8821,1.01e-20,1.31e-20,"****"
"Average path length","value","Am","EF",100,100,10000,2.56e-34,6.35e-34,"****"
"Average path length","value","Am","ET",100,100,10000,2.56e-34,6.35e-34,"****"
"Average path length","value","Aw","BSk",100,100,10000,2.56e-34,6.35e-34,"****"
"Average path length","value","Aw","Cfa",100,100,0,2.56e-34,6.35e-34,"****"
"Average path length","value","Aw","Cfb",100,100,0,2.56e-34,6.35e-34,"****"
"Average path length","value","Aw","Csa",100,100,10000,2.56e-34,6.35e-34,"****"
"Average path length","value","Aw","Csb",100,100,698,7.75e-26,1.13e-25,"****"
"Average path length","value","Aw","Dfa",100,100,534,1.02e-27,1.62e-27,"****"
"Average path length","value","Aw","Dfb",100,100,0,2.56e-34,6.35e-34,"****"
"Average path length","value","Aw","Dfc",100,100,507,4.93e-28,7.96e-28,"****"
"Average path length","value","Aw","Dwb",100,100,9020,9.12e-23,1.23e-22,"****"
"Average path length","value","Aw","Dwc",100,100,3845,0.005,0.005,"**"
"Average path length","value","Aw","EF",100,100,9985,4.02e-34,9.18e-34,"****"
"Average path length","value","Aw","ET",100,100,9999,2.64e-34,6.35e-34,"****"
