".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"degree","Af","Am",2373,1799,1770418,3.4e-21,1.33e-19,"****"
"degree","Af","Aw",2373,1594,1380882,3.26e-47,1.96e-45,"****"
"degree","Af","BSk",2373,696,372730.5,1.16e-107,1.07e-105,"****"
"degree","Af","Cfa",2373,3033,3881880,6.58e-07,1.38e-05,"****"
"degree","Af","Cfb",2373,3041,3844255.5,3.51e-05,0.000491,"***"
"degree","Af","Csa",2373,691,352379,1.7e-115,1.63e-113,"****"
"degree","Af","Csb",2373,2592,2968530.5,0.034,0.273,"ns"
"degree","Af","Dfa",2373,2480,2648008.5,1.58e-09,4.42e-08,"****"
"degree","Af","Dfb",2373,2825,3393308.5,0.442,1,"ns"
"degree","Af","Dfc",2373,2475,2693758.5,6.21e-07,1.37e-05,"****"
"degree","Af","Dwb",2373,2136,2096740.5,1.16e-23,4.87e-22,"****"
"degree","Af","Dwc",2373,2271,2403567.5,1.88e-10,5.64e-09,"****"
"degree","Af","EF",2373,943,585659,5.74e-102,5.17e-100,"****"
"degree","Af","ET",2373,1513,1126665,1.46e-85,1.17e-83,"****"
"degree","Am","Aw",1799,1594,1289545.5,4.08e-07,9.38e-06,"****"
"degree","Am","BSk",1799,696,337198,1.2e-71,8.52e-70,"****"
"degree","Am","Cfa",1799,3033,3390191.5,2.78e-45,1.64e-43,"****"
"degree","Am","Cfb",1799,3041,3370748,1.12e-41,6.5e-40,"****"
"degree","Am","Csa",1799,691,333593,7.39e-72,5.32e-70,"****"
"degree","Am","Csb",1799,2592,2665432.5,6.31e-16,2.27e-14,"****"
"degree","Am","Dfa",1799,2480,2419633.5,2.19e-06,4.38e-05,"****"
"degree","Am","Dfb",1799,2825,3014105,1.16e-26,5.34e-25,"****"
"degree","Am","Dfc",1799,2475,2442897,5.35e-08,1.39e-06,"****"
"degree","Am","Dwb",1799,2136,1952161.5,0.385,1,"ns"
"degree","Am","Dwc",1799,2271,2194193,4.75e-05,0.000618,"***"
"degree","Am","EF",1799,943,541484.5,1.04e-54,6.76e-53,"****"
"degree","Am","ET",1799,1513,1079184.5,8.83e-25,3.8e-23,"****"
"degree","Aw","BSk",1594,696,329271,4.03e-54,2.58e-52,"****"
