"Cluster","level","name","N","Freq"
"1","Kingdom","Bacteria",868,1
"1","Phylum","Proteobacteria",241,0.2776
"1","Phylum","Actinobacteria",157,0.1809
"1","Phylum","Acidobacteria",113,0.1302
"1","Phylum","Planctomycetes",86,0.0991
"1","Phylum","Bacteroidetes",75,0.0864
"1","Phylum","Chloroflexi",52,0.0599
"1","Phylum","Verrucomicrobia",43,0.0495
"1","Phylum","Gemmatimonadetes",36,0.0415
"1","Phylum","Firmicutes",16,0.0184
"1","Phylum","Chlorobi",9,0.0104
"1","Phylum","Nitrospirae",8,0.0092
"1","Phylum","unassigned",6,0.0069
"1","Phylum","Elusimicrobia",6,0.0069
"1","Phylum","Armatimonadetes",6,0.0069
"1","Phylum","FBP",5,0.0058
"1","Phylum","WS3",3,0.0035
"1","Phylum","WS2",2,0.0023
"1","Phylum","Cyanobacteria",2,0.0023
"1","Phylum","Chlamydiae",1,0.0012
"1","Phylum","Fibrobacteres",1,0.0012
"1","Class","Deltaproteobacteria",92,0.106
"1","Class","Alphaproteobacteria",80,0.0922
"1","Class","Actinobacteria",75,0.0864
"1","Class","Planctomycetia",54,0.0622
"1","Class","Acidobacteria-6",41,0.0472
"1","Class","Chloracidobacteria",36,0.0415
"1","Class","Thermoleophilia",36,0.0415
"1","Class","Gammaproteobacteria",32,0.0369
"1","Class","Acidimicrobiia",30,0.0346
"1","Class","unassigned",30,0.0346
"1","Class","Betaproteobacteria",29,0.0334
"1","Class","Saprospirae",27,0.0311
"1","Class","Cytophagia",25,0.0288
"1","Class","Phycisphaerae",22,0.0253
"1","Class","Gemmatimonadetes",21,0.0242
"1","Class","Pedosphaerae",16,0.0184
"1","Class","Spartobacteria",13,0.015
"1","Class","TK10",13,0.015
"1","Class","Sphingobacteriia",13,0.015
"1","Class","Bacilli",13,0.015
"1","Class","Anaerolineae",11,0.0127
"1","Class","Solibacteres",10,0.0115
"1","Class","Rubrobacteria",9,0.0104
"1","Class","Nitrospira",8,0.0092
"1","Class","Sva0725",8,0.0092
"1","Class","Opitutae",8,0.0092
"1","Class","Acidobacteria-5",7,0.0081
"1","Class","iii1-8",6,0.0069
"1","Class","Ellin6529",6,0.0069
"1","Class","Chloroflexi",6,0.0069
"1","Class","Elusimicrobia",6,0.0069
"1","Class","Verrucomicrobiae",6,0.0069
"1","Class","MB-A2-108",5,0.0058
"1","Class","Gemm-1",5,0.0058
"1","Class","Thermomicrobia",5,0.0058
"1","Class","Gemm-3",4,0.0046
"1","Class","Gitt-GS-136",4,0.0046
"1","Class","Flavobacteriia",4,0.0046
"1","Class","vadinHA49",4,0.0046
"1","Class","SJA-28",4,0.0046
"1","Class","Gemm-2",4,0.0046
"1","Class","S085",4,0.0046
"1","Class","0319-6E2",3,0.0035
"1","Class","PRR-12",3,0.0035
"1","Class","OM190",3,0.0035
"1","Class","Clostridia",3,0.0035
