"ClimateZone","1","2","3","4","5","6"
"Af",0.0674,0.0785,0.1032,0.0738,0.0671,0.0753
"Am",0.0558,0.0633,0.0948,0.0738,0.0378,0.0414
"Aw",0.0571,0.0596,0.0775,0.0708,0.0384,0.0278
"BSk",0.0526,0.0097,0.0112,0.0338,0.0115,0.0098
"Cfa",0.0986,0.1057,0.1054,0.0738,0.0978,0.0942
"Cfb",0.0975,0.1059,0.1051,0.0738,0.0997,0.0957
"Csa",0.0431,0.0139,0.0151,0.0369,0.0189,0.0109
"Csb",0.0785,0.0841,0.0773,0.0738,0.0929,0.0966
"Dfa",0.0826,0.0944,0.082,0.0738,0.0904,0.0671
"Dfb",0.0922,0.0953,0.0865,0.0738,0.0973,0.0955
"Dfc",0.0734,0.0838,0.06,0.0738,0.0921,0.1013
"Dwb",0.0459,0.0706,0.0781,0.0738,0.0748,0.0901
"Dwc",0.0799,0.0671,0.0617,0.0738,0.0841,0.0784
"EF",0.042,0.0232,0.0134,0.0492,0.0381,0.0323
"ET",0.0333,0.045,0.0286,0.0708,0.0592,0.0836
