"ClimateZone","1","2","3","4","5","6","7"
"Af",0.0834,0.078,0.0879,0.0606,0.0732,0.0726,0.0991
"Am",0.0794,0.0447,0.0758,0.0459,0.0691,0.0726,0.0913
"Aw",0.0763,0.0333,0.0657,0.0476,0.0729,0.0726,0.0738
"BSk",0.0126,0.0088,0.0197,0.0428,0.0542,0.0342,0.0101
"Cfa",0.096,0.0881,0.0917,0.0852,0.0881,0.0726,0.1014
"Cfb",0.096,0.0911,0.0921,0.0848,0.0884,0.0726,0.101
"Csa",0.0197,0.0157,0.0272,0.0376,0.0504,0.0427,0.0152
"Csb",0.0736,0.0898,0.0888,0.0814,0.0732,0.0726,0.0839
"Dfa",0.0902,0.0679,0.0829,0.0779,0.0782,0.0726,0.0742
"Dfb",0.0906,0.0895,0.0871,0.0835,0.0852,0.0726,0.0788
"Dfc",0.0718,0.0934,0.0699,0.0831,0.0688,0.0726,0.0715
"Dwb",0.079,0.0878,0.0674,0.0597,0.0512,0.0726,0.0821
"Dwc",0.0709,0.0826,0.0745,0.0796,0.0776,0.0726,0.0567
"EF",0.013,0.0415,0.0335,0.071,0.0331,0.0513,0.018
"ET",0.0476,0.0878,0.0356,0.0593,0.0363,0.0726,0.0429
